"Date","Products"
"2022-02-17","2"
"2022-02-16","3"
"2022-02-14","7"
"2022-02-10","1"
"2022-02-08","38"
"2022-02-07","1"
"2022-02-03","5"
"2022-02-02","9"
"2022-02-01","9"
"2022-01-31","4"
"2022-01-27","12"
"2022-01-26","1"
"2022-01-25","5"
"2022-01-24","1"
"2022-01-21","4"
"2022-01-20","5"
"2022-01-19","25"
"2022-01-18","2"
"2022-01-14","9"
"2022-01-12","9"
"2022-01-10","2"
"2022-01-07","6"
"2022-01-06","1"
"2022-01-05","41"
"2022-01-04","5"
"2022-01-02","3"
"2021-12-17","2"
"2021-12-16","1"
"2021-12-14","2"
"2021-12-08","1"
"2021-12-06","1"
"2021-12-01","1"
"2021-11-30","5"
"2021-11-29","5"
"2021-11-24","1"
"2021-11-18","2"
"2021-11-16","4"
"2021-11-15","3"
"2021-11-11","2"
"2021-11-10","3"
"2021-11-09","1"
"2021-11-08","1"
"2021-11-05","4"
"2021-11-04","9"
"2021-11-03","4"
"2021-10-29","4"
"2021-10-28","1"
"2021-10-27","4"
"2021-10-25","11"
"2021-10-22","3"
"2021-10-21","4"
"2021-10-20","1"
"2021-10-18","3"
"2021-10-15","3"
"2021-10-14","6"
"2021-10-13","1"
"2021-10-12","9"
"2021-10-09","2"
"2021-10-04","12"
"2021-10-01","12"
"2021-09-30","27"
"2021-09-22","1"
"2021-09-09","5"
"2021-09-02","3"
"2021-09-01","4"
"2021-08-31","1"
"2021-08-27","3"
"2021-08-26","1"
"2021-08-18","2"
"2021-08-16","6"
"2021-08-04","4"
"2021-08-03","6"
"2021-08-02","6"
"2021-07-29","5"
"2021-07-27","2"
"2021-07-26","4"
"2021-07-15","1"
"2021-07-14","41"
"2021-07-12","2"
"2021-07-08","1"
"2021-07-01","4"
"2021-06-24","1"
"2021-06-21","1"
"2021-06-14","2"
"2021-05-21","3"
"2021-05-14","20"
"2021-05-06","1"
"2021-04-30","1"
"2021-04-28","3"
"2021-04-27","1"
"2021-04-19","1"
"2021-04-13","2"
"2021-04-08","1"
"2021-04-07","1"
"2021-04-05","1"
"2021-04-01","5"
"2021-03-31","1"
"2021-03-29","2"
"2021-03-25","1"
"2021-03-22","2"
"2021-03-10","1"
"2021-03-08","1"
"2021-02-24","2"
"2021-02-09","5"
"2021-02-02","1"
"2021-01-29","1"
"2021-01-25","1"
"2021-01-14","1"
"2021-01-12","47"
"2021-01-07","5"
"2020-12-23","1"
"2020-12-18","4"
"2020-11-12","3"
"2020-11-05","1"
"2020-10-22","1"
"2020-10-21","1"
"2020-10-19","1"
"2020-10-08","1"
"2020-10-05","2"
"2020-09-30","2"
"2020-09-23","2"
"2020-08-24","2"
"2020-08-18","1"
"2020-07-28","6"
"2020-07-09","1"
"2020-07-01","3"
"2020-06-12","2"
"2020-05-12","1"
"2020-03-18","1"
"2020-02-13","1"
"2020-02-12","1"
"2020-02-10","3"
"2020-02-07","2"
"2020-02-03","7"
"2020-01-13","3"
"2020-01-10","1"
"2020-01-08","3"
"2019-12-20","2"
"2019-12-19","11"
"2019-11-20","2"
"2019-10-15","1"
"2019-10-08","2"
"2019-10-03","1"
"2019-09-23","4"
"2019-09-03","11"
"2019-08-21","1"
"2019-08-06","2"
"2019-07-31","2"
"2019-07-18","1"
"2019-06-27","1"
"2019-06-25","1"
"2019-06-18","3"
"2019-06-14","1"
"2019-06-12","1"
"2019-06-03","1"
"2019-05-21","2"
"2019-05-20","2"
"2019-03-07","2"
"2019-03-06","1"
"2019-03-01","1"
"2019-02-26","1"
"2019-02-25","16"
"2019-02-08","1"
"2019-02-07","5"
"2019-02-04","16"
"2019-02-01","1"
"2019-01-22","1"
"2019-01-10","1"
"2019-01-07","1"
"2019-01-03","1"
"2018-12-20","3"
"2018-12-17","1"
"2018-11-22","1"
"2018-10-27","2"
"2018-10-10","1"
"2018-09-25","1"
"2018-09-24","1"
"2018-09-14","1"
"2018-09-11","1"
"2018-09-07","1"
"2018-08-03","2"
"2018-07-24","1"
"2018-06-22","1"
"2018-06-01","1"
"2018-05-21","1"
"2018-05-16","1"
"2018-05-14","3"
"2018-05-10","1"
"2018-04-17","1"
"2018-03-15","3"
"2018-03-13","1"
"2018-03-12","1"
"2018-03-01","1"
"2018-02-28","1"
"2018-02-13","1"
"2017-11-15","1"
"2017-09-29","6"
"2017-09-28","1"
"2017-09-21","2"
"2017-09-18","1"
"2017-09-11","1"
"2017-09-06","1"
"2017-08-31","1"
"2017-07-19","2"
"2017-07-18","1"
"2017-06-16","1"
"2017-03-14","1"
"2017-01-23","1"
"2016-12-27","3"
"2016-09-15","1"
"2016-09-14","3"
