"Date","Products"
"2021-12-03","2"
"2021-11-30","10"
"2021-11-10","1"
"2021-11-09","6"
"2021-11-03","11"
"2021-10-30","1"
"2021-10-29","4"
"2021-09-09","1"
"2021-09-06","8"
"2021-08-26","1"
"2021-08-18","1"
"2021-06-22","7"
"2021-06-21","1"
"2021-06-07","1"
"2021-06-01","12"
"2021-04-30","1"
"2021-04-27","2"
"2021-04-26","1"
"2021-03-29","2"
"2021-03-03","2"
"2021-02-24","22"
"2021-02-18","10"
"2021-02-17","1"
"2021-02-16","1"
"2021-02-15","8"
"2021-02-12","5"
"2021-01-28","2"
"2021-01-25","4"
"2021-01-15","8"
"2021-01-14","33"
"2021-01-08","2"
