"Date","Products"
"2022-02-16","38"
"2022-02-11","90"
"2022-02-08","4"
"2022-02-07","56"
"2022-01-31","39"
"2022-01-26","27"
"2022-01-25","1"
"2022-01-24","1"
"2022-01-20","40"
"2022-01-18","49"
"2022-01-14","55"
"2022-01-13","48"
"2022-01-06","49"
"2022-01-05","47"
"2021-12-21","2"
"2021-12-15","50"
"2021-12-13","1"
"2021-12-08","70"
"2021-12-06","124"
"2021-11-30","133"
"2021-11-29","68"
"2021-11-25","143"
"2021-11-24","69"
"2021-11-19","1"
"2021-11-17","24"
"2021-11-15","28"
"2021-11-12","119"
"2021-11-08","40"
"2021-10-13","75"
"2021-10-11","141"
"2021-08-19","1"
"2021-08-11","1"
"2021-08-03","82"
"2021-07-31","68"
"2021-07-11","1"
"2021-06-26","1"
"2021-06-20","87"
"2021-06-19","8"
"2021-06-08","6"
"2021-06-05","22"
"2021-05-22","2"
"2021-05-16","24"
"2021-05-15","19"
"2021-05-11","2"
"2021-05-05","2"
"2021-05-02","7"
"2021-04-27","8"
"2021-04-26","46"
"2021-04-24","37"
"2021-04-23","57"
"2021-04-21","6"
"2021-04-18","5"
"2021-04-17","1"
"2021-04-11","12"
"2021-04-10","19"
"2021-04-08","11"
"2021-04-07","10"
"2021-03-27","14"
"2021-03-22","6"
"2021-03-20","16"
"2021-03-19","7"
"2021-03-18","26"
"2021-03-16","19"
"2021-03-13","6"
"2021-03-12","3"
"2021-03-11","3"
"2021-03-10","13"
"2021-03-09","2"
"2021-03-08","3"
"2021-03-06","14"
"2021-03-05","3"
"2021-03-04","10"
"2021-03-02","1"
"2021-02-27","14"
"2021-02-20","10"
"2021-02-18","2"
"2021-02-13","5"
"2021-01-30","1"
"2021-01-23","2"
"2021-01-11","4"
"2021-01-10","11"
"2020-12-30","5"
"2020-12-29","1"
"2020-12-20","1"
"2020-12-11","1"
"2020-12-06","7"
"2020-12-05","7"
"2020-12-01","2"
"2020-11-26","2"
"2020-11-25","1"
"2020-11-24","8"
"2020-11-21","1"
"2020-11-19","2"
"2020-11-15","6"
"2020-11-14","7"
"2020-11-11","2"
"2020-11-10","3"
"2020-11-08","18"
"2020-11-07","14"
"2020-11-06","1"
"2020-11-02","3"
"2020-11-01","33"
"2020-10-31","14"
"2020-10-29","2"
"2020-10-24","1"
"2020-10-19","2"
"2020-10-18","1"
"2020-10-17","4"
"2020-10-11","10"
"2020-10-03","3"
"2020-10-02","1"
"2020-09-30","1"
"2020-09-29","1"
"2020-09-27","8"
"2020-09-26","7"
"2020-09-22","4"
"2020-09-19","10"
"2020-09-18","3"
"2020-09-15","1"
"2020-09-12","2"
"2020-09-11","1"
"2020-09-10","8"
"2020-09-07","9"
"2020-09-06","5"
"2020-09-05","13"
"2020-09-03","5"
"2020-08-31","8"
"2020-08-27","9"
"2020-08-22","5"
"2020-08-21","3"
"2020-08-19","7"
"2020-08-14","6"
"2020-08-13","1"
"2020-08-09","1"
"2020-08-06","3"
"2020-08-04","5"
"2020-08-03","5"
"2020-07-27","24"
"2020-07-26","4"
"2020-07-23","1"
"2020-07-18","1"
"2020-07-17","1"
"2020-07-14","1"
"2020-07-09","3"
"2020-07-04","2"
"2020-07-01","1"
"2020-06-30","3"
"2020-06-04","3"
"2020-05-31","1"
"2020-05-29","2"
"2020-05-27","1"
"2020-05-19","2"
"2020-05-12","3"
"2020-05-09","3"
"2020-05-08","1"
"2020-05-04","3"
"2020-04-25","2"
"2020-04-18","2"
"2020-04-08","5"
"2020-04-07","5"
"2020-03-03","6"
"2020-02-25","1"
"2020-02-19","1"
"2020-02-17","2"
"2020-02-01","1"
"2020-01-29","2"
"2020-01-28","1"
"2020-01-25","4"
"2020-01-22","1"
"2020-01-17","1"
"2020-01-16","3"
"2020-01-15","1"
"2020-01-12","1"
"2020-01-09","1"
"2020-01-08","2"
"2020-01-06","4"
"2020-01-02","4"
"2019-12-27","1"
"2019-12-26","1"
"2019-12-18","8"
"2019-12-13","1"
"2019-12-11","6"
"2019-12-07","3"
"2019-12-03","3"
"2019-12-01","1"
"2019-11-29","5"
"2019-11-27","4"
"2019-11-25","2"
"2019-11-21","1"
"2019-11-20","9"
"2019-11-19","1"
"2019-11-17","1"
"2019-11-16","3"
"2019-11-14","1"
"2019-11-13","1"
"2019-11-12","6"
"2019-11-07","3"
"2019-11-06","1"
"2019-11-04","1"
"2019-10-31","1"
"2019-10-29","2"
"2019-10-28","5"
"2019-10-24","1"
"2019-10-20","6"
"2019-10-19","1"
"2019-10-18","1"
"2019-10-17","2"
"2019-10-13","1"
"2019-10-09","2"
"2019-10-08","3"
"2019-10-07","3"
"2019-09-22","1"
"2019-09-18","2"
"2019-09-17","2"
"2019-09-14","3"
"2019-09-10","6"
"2019-09-08","4"
"2019-09-07","1"
"2019-09-04","1"
"2019-09-01","1"
"2019-08-20","1"
"2019-08-16","4"
"2019-08-07","1"
"2019-08-03","1"
"2019-07-18","1"
"2019-07-17","2"
"2019-07-15","2"
"2019-07-13","2"
"2019-07-11","2"
"2019-07-03","1"
"2019-06-27","1"
"2019-06-25","1"
"2019-06-06","1"
"2019-06-03","1"
"2019-04-07","1"
"2019-03-05","1"
"2019-02-27","2"
"2018-12-14","1"
"2018-12-07","1"
"2018-12-05","1"
"2018-12-04","2"
"2018-12-03","1"
"2018-12-02","2"
"2018-10-21","1"
"2018-10-16","3"
"2018-09-29","1"
"2018-08-18","2"
"2018-07-21","1"
"2018-07-20","1"
"2018-06-22","1"
"2018-06-08","1"
"2017-06-30","1"
"2017-03-05","1"
