"Date","Products"
"2022-02-17","13"
"2022-02-16","14"
"2022-02-14","1"
"2022-02-11","2"
"2022-02-09","5"
"2022-02-08","5"
"2022-02-07","2"
"2022-02-04","16"
"2022-02-03","12"
"2022-02-01","2"
"2022-01-28","1"
"2022-01-27","18"
"2022-01-20","25"
"2022-01-19","1"
"2022-01-13","19"
"2022-01-12","1"
"2022-01-11","2"
"2022-01-10","1"
"2022-01-07","3"
"2022-01-06","20"
"2022-01-04","6"
"2021-12-30","9"
"2021-12-27","1"
"2021-12-22","7"
"2021-12-20","1"
"2021-12-16","11"
"2021-12-09","14"
"2021-11-29","24"
"2021-11-26","1"
"2021-11-25","3"
"2021-11-24","1"
"2021-11-23","6"
"2021-11-22","27"
"2021-11-18","3"
"2021-11-17","11"
"2021-11-12","15"
"2021-11-11","6"
"2021-11-04","8"
"2021-10-29","1"
"2021-10-28","2"
"2021-10-27","2"
"2021-10-25","1"
"2021-10-21","7"
"2021-10-15","43"
"2021-10-14","3"
"2021-10-13","1"
"2021-10-07","5"
"2021-10-06","1"
"2021-09-30","8"
"2021-09-29","1"
"2021-09-23","10"
"2021-09-20","1"
"2021-09-17","1"
"2021-09-16","19"
"2021-09-15","1"
"2021-09-09","13"
"2021-09-01","2"
"2021-08-26","7"
"2021-08-25","1"
"2021-08-24","1"
"2021-08-19","14"
"2021-08-18","3"
"2021-08-13","12"
"2021-08-12","9"
"2021-08-05","11"
"2021-07-30","5"
"2021-07-27","7"
"2021-07-23","2"
"2021-07-22","4"
"2021-07-21","2"
"2021-07-16","7"
"2021-07-14","13"
"2021-07-09","9"
"2021-07-08","12"
"2021-07-07","1"
"2021-07-01","5"
"2021-06-29","11"
"2021-06-24","12"
"2021-06-23","1"
"2021-06-22","1"
"2021-06-17","7"
"2021-06-16","1"
"2021-06-10","9"
"2021-05-27","4"
"2021-05-21","15"
"2021-05-20","7"
"2021-05-19","1"
"2021-05-13","12"
"2021-05-12","2"
"2021-05-05","10"
"2021-04-30","1"
"2021-04-29","5"
"2021-04-22","9"
"2021-04-21","2"
"2021-04-15","7"
"2021-04-13","23"
"2021-03-26","12"
"2021-03-18","4"
"2021-03-12","7"
"2021-03-11","2"
"2021-03-10","4"
"2021-03-04","10"
"2021-03-03","10"
"2021-02-25","3"
"2021-02-24","4"
"2021-02-18","1"
"2021-02-17","1"
"2021-02-16","2"
"2021-02-11","3"
"2021-02-08","1"
"2021-02-05","1"
"2021-02-03","2"
"2021-02-01","1"
"2021-01-29","1"
"2021-01-21","11"
"2021-01-18","2"
"2021-01-14","8"
"2021-01-13","1"
"2021-01-12","5"
"2021-01-07","7"
"2021-01-06","2"
"2021-01-01","9"
"2020-12-17","4"
"2020-12-04","1"
"2020-11-27","2"
"2020-11-26","3"
"2020-11-23","21"
"2020-11-19","5"
"2020-11-12","1"
"2020-11-11","1"
"2020-11-04","1"
"2020-10-30","2"
"2020-10-29","1"
"2020-10-28","1"
"2020-10-22","2"
"2020-10-21","1"
"2020-10-18","4"
"2020-10-16","1"
"2020-10-15","1"
"2020-10-14","1"
"2020-10-09","34"
"2020-10-08","2"
"2020-09-24","1"
"2020-09-11","2"
"2020-09-09","1"
"2020-09-08","2"
"2020-08-28","8"
"2020-08-26","1"
"2020-08-20","2"
"2020-08-12","5"
"2020-08-06","6"
"2020-07-29","2"
"2020-07-24","1"
"2020-07-23","7"
"2020-07-16","3"
"2020-07-09","43"
"2020-06-26","2"
"2020-06-24","1"
"2020-06-20","1"
"2020-06-17","3"
"2020-06-11","8"
"2020-06-09","4"
"2020-05-22","1"
"2020-05-07","6"
"2020-05-05","2"
"2020-04-13","1"
"2020-03-27","1"
"2020-03-25","1"
"2020-03-13","1"
"2020-03-12","2"
"2020-03-11","3"
"2020-03-08","2"
"2020-03-06","5"
"2020-02-26","2"
"2020-02-20","10"
"2020-02-19","2"
"2020-02-12","4"
"2020-01-30","3"
"2020-01-23","12"
"2020-01-17","1"
"2020-01-16","2"
"2020-01-15","1"
"2020-01-09","2"
"2020-01-08","3"
"2020-01-03","1"
"2019-12-26","1"
"2019-12-19","1"
"2019-12-02","7"
"2019-11-30","17"
"2019-11-28","2"
"2019-11-21","8"
"2019-11-15","7"
"2019-11-14","1"
"2019-11-13","4"
"2019-11-08","4"
"2019-11-07","1"
"2019-11-06","2"
"2019-11-05","32"
"2019-10-24","3"
"2019-10-18","4"
"2019-10-07","5"
"2019-10-04","3"
"2019-10-01","14"
"2019-09-26","29"
"2019-09-19","2"
"2019-09-12","5"
"2019-08-30","1"
"2019-08-22","2"
"2019-08-21","1"
"2019-08-14","1"
"2019-08-09","5"
"2019-08-01","1"
"2019-07-24","1"
"2019-07-17","2"
"2019-07-12","2"
"2019-07-11","10"
"2019-06-27","1"
"2019-06-26","1"
"2019-06-25","1"
"2019-06-20","2"
"2019-06-19","1"
"2019-06-13","1"
"2019-06-12","3"
"2019-05-30","9"
"2019-05-23","1"
"2019-05-16","2"
"2019-05-15","1"
"2019-05-09","1"
"2019-04-26","1"
"2019-04-18","1"
"2019-04-12","1"
"2019-04-05","3"
"2019-03-14","7"
"2019-02-26","3"
"2019-02-22","17"
"2019-02-19","5"
"2019-02-15","3"
"2019-02-08","1"
"2019-02-05","3"
"2019-01-24","4"
"2019-01-17","1"
"2019-01-10","5"
"2018-12-21","2"
"2018-12-18","1"
"2018-12-13","1"
"2018-12-11","11"
"2018-11-20","4"
"2018-11-15","3"
"2018-11-02","2"
"2018-10-25","1"
"2018-10-18","31"
"2018-10-12","4"
"2018-09-27","3"
"2018-09-20","14"
"2018-09-18","1"
"2018-07-24","1"
"2018-07-23","1"
"2018-06-29","2"
"2018-06-14","3"
"2018-05-25","2"
"2018-04-06","2"
"2018-04-05","2"
"2018-03-29","16"
"2018-03-28","1"
"2018-03-15","2"
"2018-02-16","2"
"2018-02-08","2"
"2018-01-29","6"
"2018-01-05","3"
"2017-12-13","1"
"2017-11-22","2"
"2017-11-20","1"
"2017-11-19","2"
"2017-11-16","2"
"2017-11-15","1"
"2017-11-09","1"
"2017-10-26","2"
"2017-09-15","4"
"2017-08-24","5"
"2017-08-02","15"
"2017-07-31","2"
"2017-07-27","21"
"2017-07-20","1"
"2017-04-13","3"
"2017-04-06","1"
"2017-03-17","1"
"2017-03-10","1"
"2017-02-14","1"
"2017-01-11","7"
"2017-01-06","3"
"2016-10-26","2"
"2016-09-22","1"
"2016-08-18","1"
"2016-07-12","1"
"2016-06-09","38"
