"Date","Products"
"2022-01-31","1"
"2022-01-27","1"
"2022-01-26","1"
"2022-01-25","1"
"2022-01-12","3"
"2022-01-11","1"
"2022-01-10","1"
"2021-12-14","1"
"2021-12-01","1"
"2021-11-22","5"
"2021-11-19","112"
"2021-11-18","1"
"2021-11-10","3"
"2021-11-09","1"
"2021-10-22","6"
"2021-10-20","1"
"2021-10-12","3"
"2021-10-11","3"
"2021-10-07","2"
"2021-10-04","1"
"2021-09-29","1"
"2021-09-23","2"
"2021-09-22","4"
"2021-09-16","1"
"2021-09-07","2"
"2021-09-02","4"
"2021-08-30","3"
"2021-08-18","1"
"2021-08-09","1"
"2021-07-22","1"
"2021-07-21","2"
"2021-07-20","3"
"2021-07-02","1"
"2021-06-29","1"
"2021-06-22","5"
"2021-06-09","3"
"2021-06-08","2"
"2021-05-20","5"
"2021-04-22","3"
"2021-04-07","1"
"2021-03-31","2"
"2021-03-26","1"
"2021-03-17","1"
"2021-03-02","1"
"2021-02-26","2"
"2021-02-24","3"
"2021-02-23","1"
"2021-02-17","2"
"2021-02-08","2"
"2021-02-01","3"
"2021-01-29","3"
"2021-01-27","1"
"2021-01-20","1"
"2020-11-29","1"
"2020-11-10","1"
"2020-10-21","1"
"2020-10-20","5"
"2020-09-30","2"
"2020-09-28","1"
"2020-09-18","2"
"2020-09-03","2"
"2020-08-27","1"
"2020-08-17","7"
"2020-07-30","1"
"2020-07-17","3"
"2020-07-16","2"
"2020-06-24","1"
"2020-06-18","3"
"2020-06-15","1"
"2020-06-14","1"
"2020-05-27","1"
"2020-04-17","5"
"2020-04-01","1"
"2020-03-31","1"
"2020-03-27","3"
"2020-03-09","2"
"2019-12-07","2"
"2019-11-26","4"
"2019-11-19","24"
