"Date","Products"
"2021-11-25","1"
"2021-09-09","3"
"2021-09-03","1"
"2021-08-12","1"
"2021-08-03","1"
"2021-07-27","1"
"2021-07-20","3"
"2021-07-06","1"
"2021-05-03","1"
"2021-05-02","1"
"2021-04-29","2"
"2021-04-27","1"
"2021-04-25","1"
"2021-03-16","1"
"2021-03-07","1"
"2021-03-05","1"
"2021-02-18","1"
"2021-02-11","1"
"2021-02-10","1"
"2021-01-22","1"
"2021-01-07","1"
"2020-12-29","1"
"2020-12-18","1"
"2020-12-03","1"
"2020-11-29","1"
"2020-11-20","3"
"2020-11-18","1"
"2020-11-17","1"
"2020-11-09","1"
"2020-11-04","1"
"2020-11-03","1"
"2020-10-27","1"
"2020-10-14","2"
"2020-10-09","1"
"2020-09-10","1"
"2020-09-09","1"
"2020-09-03","1"
"2020-08-24","1"
"2020-08-18","1"
"2020-08-12","1"
