"Date","Products"
"2022-02-15","1"
"2022-02-14","4"
"2022-02-11","5"
"2022-02-10","4"
"2022-02-09","15"
"2022-02-08","12"
"2022-02-04","6"
"2022-02-02","17"
"2022-01-31","4"
"2022-01-28","36"
"2022-01-26","1"
"2022-01-24","8"
"2022-01-21","23"
"2022-01-18","5"
"2022-01-14","10"
"2022-01-03","1"
"2021-12-31","5"
"2021-12-30","1"
"2021-12-23","6"
"2021-12-17","19"
"2021-12-16","9"
"2021-12-14","9"
"2021-12-13","1"
"2021-12-10","45"
"2021-12-09","3"
"2021-12-08","3"
"2021-12-06","8"
"2021-12-03","44"
"2021-12-02","5"
"2021-11-30","8"
"2021-11-29","19"
"2021-11-26","27"
"2021-11-25","1"
"2021-11-24","1"
"2021-11-23","1"
"2021-11-22","1"
"2021-11-21","41"
"2021-11-19","11"
"2021-11-17","33"
"2021-11-16","2"
"2021-11-14","13"
"2021-11-12","54"
"2021-11-10","6"
"2021-11-09","4"
"2021-11-08","7"
"2021-11-05","21"
"2021-11-03","12"
"2021-10-29","45"
"2021-10-28","4"
"2021-10-27","10"
"2021-10-25","16"
"2021-10-20","1"
"2021-10-19","2"
"2021-10-18","1"
"2021-10-17","10"
"2021-10-16","3"
"2021-10-15","7"
"2021-10-13","20"
"2021-10-12","4"
"2021-10-11","1"
"2021-10-08","18"
"2021-10-07","5"
"2021-10-06","3"
"2021-10-05","4"
"2021-10-04","27"
"2021-10-01","20"
"2021-09-30","7"
"2021-09-29","16"
"2021-09-28","1"
"2021-09-24","12"
"2021-09-23","26"
"2021-09-22","8"
"2021-09-21","7"
"2021-09-20","14"
"2021-09-17","21"
"2021-09-15","10"
"2021-09-10","45"
"2021-09-09","3"
"2021-09-08","30"
"2021-09-07","1"
"2021-09-06","2"
"2021-09-03","56"
"2021-09-01","21"
"2021-08-29","7"
"2021-08-27","90"
"2021-08-26","4"
"2021-08-23","4"
"2021-08-20","4"
"2021-08-19","4"
"2021-08-16","1"
"2021-08-13","7"
"2021-08-11","4"
"2021-08-10","5"
"2021-08-09","2"
"2021-08-06","14"
"2021-07-30","15"
"2021-07-29","1"
"2021-07-23","28"
"2021-07-16","11"
"2021-07-14","8"
"2021-07-13","2"
"2021-07-09","30"
"2021-07-02","8"
"2021-06-25","10"
"2021-06-23","4"
"2021-06-22","1"
"2021-06-18","61"
"2021-06-11","18"
"2021-06-09","8"
"2021-06-08","4"
"2021-06-04","19"
"2021-05-28","9"
"2021-05-22","2"
"2021-05-21","4"
"2021-05-20","4"
"2021-05-14","17"
"2021-05-10","2"
"2021-05-07","14"
"2021-05-03","6"
"2021-05-01","2"
"2021-04-30","4"
"2021-04-28","4"
"2021-04-27","4"
"2021-04-23","12"
"2021-04-20","5"
"2021-04-18","17"
"2021-04-16","15"
"2021-04-13","2"
"2021-04-09","12"
"2021-04-06","2"
"2021-04-02","14"
"2021-03-28","5"
"2021-03-26","23"
"2021-03-25","5"
"2021-03-19","2"
"2021-03-12","24"
"2021-03-11","1"
"2021-03-09","10"
"2021-03-05","13"
"2021-03-01","1"
"2021-02-26","7"
"2021-02-25","1"
"2021-02-24","1"
"2021-02-23","1"
"2021-02-19","5"
"2021-02-18","4"
"2021-02-17","4"
"2021-02-13","1"
"2021-02-12","11"
"2021-02-10","5"
"2021-02-08","6"
"2021-02-05","12"
"2021-02-02","1"
"2021-02-01","1"
"2021-01-31","6"
"2021-01-29","9"
"2021-01-27","1"
"2021-01-22","2"
"2021-01-15","6"
