"Date","Products"
"2022-02-17","1"
"2022-02-16","1"
"2022-02-08","1"
"2022-02-04","1"
"2022-02-01","12"
"2022-01-20","1"
"2022-01-19","4"
"2022-01-12","1"
"2022-01-07","5"
"2022-01-01","1"
"2021-12-17","2"
"2021-12-02","5"
"2021-12-01","2"
"2021-11-24","1"
"2021-11-23","1"
"2021-11-09","1"
"2021-10-12","1"
"2021-10-08","1"
"2021-10-01","2"
"2021-09-07","4"
"2021-09-03","2"
"2021-09-01","2"
"2021-08-31","50"
"2021-08-09","6"
"2021-08-08","1"
"2021-08-05","1"
"2021-08-02","1"
"2021-07-22","2"
"2021-07-01","1"
"2021-06-29","1"
"2021-06-23","1"
"2021-06-18","1"
"2021-06-01","2"
"2021-05-17","1"
"2021-05-14","2"
"2021-05-13","9"
"2021-05-12","2"
"2021-05-05","1"
"2021-05-04","1"
"2021-04-30","1"
"2021-04-29","2"
"2021-04-21","25"
"2021-04-20","1"
"2021-04-19","1"
"2021-04-15","17"
"2021-04-14","1"
"2021-04-13","7"
"2021-03-07","1"
"2021-01-26","416"
