"Date","Products"
"2022-02-19","67"
"2022-02-16","1"
"2022-02-14","1"
"2022-02-12","75"
"2022-02-10","1"
"2022-02-08","1"
"2022-02-05","40"
"2022-01-29","54"
"2022-01-27","1"
"2022-01-26","8"
"2022-01-25","1"
"2022-01-22","71"
"2022-01-20","1"
"2022-01-17","4"
"2022-01-16","1"
"2022-01-15","57"
"2022-01-11","7"
"2022-01-08","46"
"2022-01-04","4"
"2022-01-01","31"
"2021-12-25","52"
"2021-12-24","3"
"2021-12-22","1"
"2021-12-19","10"
"2021-12-18","36"
"2021-12-14","3"
"2021-12-13","13"
"2021-12-11","43"
"2021-12-09","1"
"2021-12-08","1"
"2021-12-07","2"
"2021-12-04","78"
"2021-11-29","11"
"2021-11-28","1"
"2021-11-27","58"
"2021-11-26","2"
"2021-11-24","6"
"2021-11-23","40"
"2021-11-21","81"
"2021-11-16","47"
"2021-11-14","60"
"2021-11-09","60"
"2021-11-08","1"
"2021-11-06","40"
"2021-11-05","1"
"2021-11-04","5"
"2021-10-30","71"
"2021-10-29","1"
"2021-10-28","83"
"2021-10-26","1"
"2021-10-23","75"
"2021-10-22","13"
"2021-10-21","2"
"2021-10-19","3"
"2021-10-17","1"
"2021-10-16","51"
"2021-10-14","1"
"2021-10-12","23"
"2021-10-09","28"
"2021-10-06","1"
"2021-10-03","59"
"2021-09-29","2"
"2021-09-25","16"
"2021-09-23","1"
"2021-09-22","6"
"2021-09-18","52"
"2021-09-15","2"
"2021-09-14","2"
"2021-09-11","47"
"2021-09-07","5"
"2021-09-06","2"
"2021-09-04","54"
"2021-09-02","3"
"2021-09-01","1"
"2021-08-30","6"
"2021-08-28","61"
"2021-08-27","1"
"2021-08-23","3"
"2021-08-21","14"
"2021-08-20","1"
"2021-08-19","2"
"2021-08-17","1"
"2021-08-15","1"
"2021-08-14","27"
"2021-08-13","1"
"2021-08-12","32"
"2021-08-09","2"
"2021-08-07","12"
"2021-08-06","5"
"2021-08-05","1"
"2021-08-04","2"
"2021-08-02","1"
"2021-08-01","6"
"2021-07-31","14"
"2021-07-29","1"
"2021-07-28","2"
"2021-07-26","2"
"2021-07-25","1"
"2021-07-24","29"
"2021-07-22","1"
"2021-07-19","6"
"2021-07-18","21"
"2021-07-16","5"
"2021-07-14","3"
"2021-07-12","3"
"2021-07-10","24"
"2021-07-09","1"
"2021-07-08","1"
"2021-07-07","6"
"2021-07-04","13"
"2021-07-02","3"
"2021-07-01","2"
"2021-06-30","2"
"2021-06-29","3"
"2021-06-28","2"
"2021-06-27","22"
"2021-06-25","2"
"2021-06-24","2"
"2021-06-23","5"
"2021-06-22","9"
"2021-06-20","37"
"2021-06-17","3"
"2021-06-16","3"
"2021-06-15","7"
"2021-06-13","35"
"2021-06-11","2"
"2021-06-07","18"
"2021-06-06","23"
"2021-06-02","1"
"2021-05-31","4"
"2021-05-30","11"
"2021-05-29","10"
"2021-05-28","1"
"2021-05-27","16"
"2021-05-24","10"
"2021-05-23","18"
"2021-05-19","16"
"2021-05-18","15"
"2021-05-16","42"
"2021-05-11","2"
"2021-05-10","1"
"2021-05-09","4"
"2021-05-07","1"
"2021-05-05","2"
"2021-05-02","13"
"2021-04-30","1"
"2021-04-24","15"
"2021-04-19","1"
"2021-04-18","12"
"2021-04-12","2"
"2021-04-11","10"
"2021-04-07","1"
"2021-04-04","16"
"2021-03-28","13"
"2021-03-25","1"
"2021-03-24","2"
"2021-03-21","10"
"2021-03-18","1"
"2021-03-14","1"
"2021-03-13","5"
"2021-03-07","7"
"2021-03-01","22"
"2021-02-28","9"
"2021-02-21","1"
"2021-02-13","1"
"2021-02-06","4"
"2021-01-31","8"
"2021-01-23","6"
"2021-01-22","1"
"2021-01-17","7"
"2021-01-10","4"
"2021-01-03","3"
"2020-12-27","2"
"2020-12-24","2"
"2020-12-20","2"
"2020-12-16","5"
"2020-12-13","1"
"2020-12-03","2"
"2020-11-24","1"
"2020-11-22","2"
"2020-11-16","3"
"2020-11-15","1"
"2020-11-11","8"
"2020-11-08","4"
"2020-11-05","1"
"2020-11-04","5"
"2020-11-03","1"
"2020-11-01","1"
"2020-10-28","2"
"2020-10-27","1"
"2020-10-25","2"
"2020-10-18","4"
"2020-10-11","5"
"2020-10-09","1"
"2020-10-03","1"
"2020-09-29","1"
"2020-09-26","9"
"2020-09-20","5"
"2020-09-14","1"
"2020-09-13","3"
"2020-09-07","1"
"2020-09-06","5"
"2020-09-02","1"
"2020-09-01","1"
"2020-08-31","1"
"2020-08-30","1"
"2020-08-28","1"
"2020-08-27","2"
"2020-08-26","1"
"2020-08-25","2"
"2020-08-24","1"
"2020-08-23","1"
"2020-08-22","2"
"2020-08-20","2"
"2020-08-15","1"
"2020-08-12","2"
"2020-08-10","1"
"2020-08-09","2"
"2020-08-08","1"
"2020-08-05","1"
"2020-08-02","1"
"2020-08-01","1"
"2020-07-31","1"
"2020-07-30","1"
"2020-07-28","3"
"2020-07-23","1"
"2020-07-22","1"
"2020-07-21","1"
"2020-07-19","2"
"2020-07-16","1"
"2020-07-15","2"
"2020-07-14","1"
"2020-07-12","1"
"2020-07-11","1"
"2020-07-10","1"
"2020-07-09","2"
"2020-07-06","3"
"2020-07-02","2"
"2020-07-01","1"
"2020-06-30","1"
"2020-06-17","1"
"2020-06-16","1"
"2020-06-15","1"
"2020-06-14","2"
"2020-06-02","1"
"2020-05-30","1"
"2020-05-27","1"
"2020-05-05","1"
"2020-03-18","1"
"2020-02-12","2"
"2020-01-19","1"
"2020-01-06","1"
"2019-09-19","1"
"2019-05-17","1"
