"Date","Products"
"2022-02-18","4"
"2022-02-17","62"
"2022-02-15","11"
"2022-02-14","17"
"2022-02-10","183"
"2022-02-07","1"
"2022-02-03","4"
"2022-02-02","6"
"2022-02-01","4"
"2022-01-31","2"
"2022-01-28","4"
"2022-01-27","67"
"2022-01-24","3"
"2022-01-21","3"
"2022-01-20","44"
"2022-01-19","11"
"2022-01-18","4"
"2022-01-17","5"
"2022-01-14","1"
"2022-01-13","37"
"2022-01-10","2"
"2022-01-07","27"
"2022-01-06","1"
"2022-01-03","2"
"2021-12-31","1"
"2021-12-29","9"
"2021-12-28","4"
"2021-12-26","23"
"2021-12-22","8"
"2021-12-20","23"
"2021-12-16","7"
"2021-12-15","1"
"2021-12-14","2"
"2021-12-13","1"
"2021-12-10","10"
"2021-12-09","30"
"2021-12-07","1"
"2021-12-06","3"
"2021-12-01","17"
"2021-11-24","9"
"2021-11-22","52"
"2021-11-18","12"
"2021-11-17","10"
"2021-11-16","8"
"2021-11-15","5"
"2021-11-11","16"
"2021-11-09","17"
"2021-11-07","10"
"2021-11-05","22"
"2021-11-04","20"
"2021-11-03","18"
"2021-11-02","13"
"2021-11-01","1"
"2021-10-28","48"
"2021-10-27","18"
"2021-10-25","1"
"2021-10-22","32"
"2021-10-18","3"
"2021-10-14","59"
"2021-10-13","1"
"2021-10-11","11"
"2021-10-08","15"
"2021-10-07","4"
"2021-10-06","23"
"2021-10-05","7"
"2021-10-04","4"
"2021-10-01","7"
"2021-09-30","79"
"2021-09-29","1"
"2021-09-28","17"
"2021-09-27","5"
"2021-09-24","9"
"2021-09-22","1"
"2021-09-21","5"
"2021-09-20","28"
"2021-09-17","11"
"2021-09-16","80"
"2021-09-15","6"
"2021-09-09","15"
"2021-09-08","19"
"2021-09-02","4"
"2021-08-31","4"
"2021-08-30","22"
"2021-08-27","30"
"2021-08-26","52"
"2021-08-20","3"
"2021-08-19","6"
"2021-08-18","12"
"2021-08-17","4"
"2021-08-16","6"
"2021-08-13","3"
"2021-08-12","115"
"2021-08-10","1"
"2021-08-09","2"
"2021-08-05","44"
"2021-07-29","34"
"2021-07-08","38"
"2021-06-28","7"
"2021-06-24","28"
"2021-06-04","2"
"2021-05-24","19"
"2021-05-18","1"
"2021-05-13","43"
"2021-05-12","2"
"2021-05-07","1"
"2021-05-06","63"
"2021-05-04","3"
"2021-05-03","1"
"2021-04-29","2"
"2021-04-28","1"
"2021-04-27","1"
"2021-04-22","10"
"2021-04-06","87"
"2021-03-15","2"
"2021-03-11","41"
"2021-03-08","3"
"2021-03-06","3"
"2021-03-05","11"
"2021-03-03","3"
"2021-03-02","6"
"2021-02-25","70"
"2021-02-11","37"
"2021-01-28","10"
"2021-01-27","4"
"2021-01-25","1"
"2021-01-21","1"
"2021-01-20","1"
"2021-01-14","2"
"2020-12-14","2"
"2020-12-03","1"
"2020-11-28","1"
"2020-10-29","4"
"2020-10-27","1"
"2020-10-16","3"
"2020-10-12","4"
"2020-09-30","4"
"2020-09-24","11"
"2020-09-17","1"
"2020-09-10","6"
"2020-08-25","1"
"2020-08-13","2"
"2020-08-12","1"
"2020-07-03","1"
"2020-06-25","1"
"2020-06-11","1"
"2020-05-29","1"
"2020-05-28","2"
"2020-05-14","3"
"2020-04-09","2"
"2020-03-12","3"
"2020-02-13","2"
"2020-01-30","1"
"2019-08-29","3"
"2019-08-02","1"
"2019-06-26","2"
"2019-02-27","3"
