"Date","Products"
"2022-01-28","1"
"2022-01-26","1"
"2022-01-24","1"
"2022-01-11","1"
"2021-11-05","1"
"2021-10-27","1"
"2021-10-06","1"
"2021-08-30","1"
"2021-07-20","2"
"2021-07-05","4"
"2021-02-02","4"
"2020-11-20","1"
"2020-11-17","1"
"2020-11-12","1"
"2020-08-24","2"
"2020-07-02","1"
"2020-06-11","1"
"2020-05-15","1"
"2020-03-27","1"
"2020-01-08","2"
"2019-05-22","1"
"2019-04-25","4"
"2019-04-03","1"
"2018-11-28","1"
"2018-11-16","1"
"2018-10-30","1"
"2018-10-25","1"
"2018-10-05","1"
"2018-09-24","1"
"2018-08-28","3"
"2018-01-02","1"
"2017-08-22","2"
"2015-11-23","1"
"2015-09-24","3"
"2015-05-25","1"
"2014-12-05","1"
"2014-11-12","2"
