"Date","Products"
"2022-02-18","1"
"2022-02-16","1"
"2022-02-15","1"
"2022-02-11","2"
"2022-02-10","13"
"2022-02-08","9"
"2022-02-04","4"
"2022-02-03","1"
"2022-01-25","2"
"2022-01-18","1"
"2022-01-11","1"
"2022-01-04","15"
"2021-12-22","1"
"2021-12-21","1"
"2021-12-17","1"
"2021-12-16","8"
"2021-12-15","3"
"2021-12-10","1"
"2021-12-08","2"
"2021-12-07","4"
"2021-12-03","3"
"2021-12-01","1"
"2021-11-22","1"
"2021-11-19","1"
"2021-11-15","1"
"2021-11-02","1"
"2021-11-01","1"
"2021-10-27","20"
"2021-10-25","1"
"2021-10-23","21"
"2021-10-22","31"
"2021-10-13","6"
"2021-10-12","1"
"2021-10-07","10"
"2021-10-06","1"
"2021-10-05","1"
"2021-10-01","7"
"2021-09-30","1"
"2021-09-29","2"
"2021-09-28","1"
"2021-09-27","1"
"2021-09-23","1"
"2021-09-22","2"
"2021-09-21","2"
"2021-09-17","7"
"2021-09-14","9"
"2021-09-10","9"
"2021-09-09","9"
"2021-09-01","8"
"2021-08-31","1"
"2021-08-27","9"
"2021-08-25","2"
"2021-08-20","4"
"2021-08-18","2"
"2021-08-17","1"
"2021-08-13","12"
"2021-08-12","3"
"2021-08-10","10"
"2021-08-05","1"
"2021-08-04","1"
"2021-08-03","1"
"2021-08-02","1"
"2021-08-01","6"
"2021-07-29","9"
"2021-07-28","4"
"2021-07-23","9"
"2021-07-22","1"
"2021-07-21","1"
"2021-07-16","3"
"2021-07-13","1"
"2021-07-12","2"
"2021-07-08","8"
"2021-07-06","1"
"2021-07-02","6"
"2021-07-01","1"
"2021-06-28","1"
"2021-06-24","9"
"2021-06-22","2"
"2021-06-18","5"
"2021-06-17","2"
"2021-06-11","4"
"2021-06-10","18"
"2021-06-08","5"
"2021-06-07","1"
"2021-06-04","7"
"2021-06-03","4"
"2021-05-27","8"
"2021-05-25","1"
"2021-05-21","8"
"2021-05-18","1"
"2021-05-17","1"
"2021-05-14","10"
"2021-05-11","1"
"2021-05-10","3"
"2021-05-05","3"
"2021-05-03","1"
"2021-04-27","4"
"2021-04-26","8"
"2021-04-25","7"
"2021-04-22","2"
"2021-04-19","1"
