"Date","Products"
"2022-02-19","2"
"2022-02-18","2"
"2022-02-17","2"
"2022-02-15","2"
"2022-02-14","2"
"2022-02-13","1"
"2022-02-11","1"
"2022-02-10","2"
"2022-02-09","2"
"2022-02-08","2"
"2022-01-25","4"
"2022-01-24","2"
"2022-01-23","1"
"2022-01-21","4"
"2022-01-20","1"
"2022-01-19","5"
"2022-01-18","2"
"2022-01-17","2"
"2022-01-16","3"
"2022-01-13","3"
"2022-01-12","1"
"2022-01-11","1"
"2022-01-10","2"
"2022-01-08","1"
"2022-01-07","2"
"2022-01-06","5"
"2022-01-05","4"
"2022-01-04","2"
"2022-01-03","18"
"2022-01-01","5"
"2021-12-31","4"
"2021-12-30","1"
"2021-12-29","5"
"2021-12-28","1"
"2021-12-25","1"
"2021-12-24","1"
"2021-12-22","2"
"2021-12-21","2"
"2021-12-17","4"
"2021-12-16","2"
"2021-12-15","1"
"2021-12-14","4"
"2021-12-13","4"
"2021-12-10","3"
"2021-12-08","1"
"2021-12-07","2"
"2021-12-06","5"
"2021-12-05","4"
"2021-12-03","1"
"2021-12-02","2"
"2021-12-01","5"
"2021-11-30","2"
"2021-11-29","2"
"2021-11-25","5"
"2021-11-24","2"
"2021-11-23","2"
"2021-11-22","1"
"2021-11-21","1"
"2021-11-20","2"
"2021-11-19","2"
"2021-11-18","2"
"2021-11-17","1"
"2021-11-16","2"
"2021-11-14","1"
"2021-11-12","3"
"2021-11-10","2"
"2021-11-09","3"
"2021-11-08","2"
"2021-11-06","1"
"2021-11-05","2"
"2021-11-03","5"
"2021-11-02","1"
"2021-11-01","1"
"2021-10-31","1"
"2021-10-28","2"
"2021-10-27","2"
"2021-10-26","2"
"2021-10-25","3"
"2021-10-24","1"
"2021-10-23","1"
"2021-10-22","2"
"2021-10-21","2"
"2021-10-20","2"
"2021-10-19","2"
"2021-10-18","3"
"2021-10-15","2"
"2021-10-13","5"
"2021-10-12","2"
"2021-10-10","1"
"2021-10-07","1"
"2021-10-06","2"
"2021-10-04","3"
"2021-10-03","1"
"2021-10-02","1"
"2021-09-30","1"
"2021-09-29","1"
"2021-09-28","2"
"2021-09-27","2"
"2021-09-25","3"
"2021-09-24","3"
"2021-09-23","1"
"2021-09-22","4"
"2021-09-20","1"
"2021-09-19","2"
"2021-09-18","2"
"2021-09-17","4"
"2021-09-16","1"
"2021-09-15","5"
"2021-09-14","1"
"2021-09-13","4"
"2021-09-12","2"
"2021-09-11","1"
"2021-09-09","2"
"2021-09-08","1"
"2021-09-07","3"
"2021-09-06","2"
"2021-09-03","1"
"2021-09-01","1"
"2021-08-30","1"
"2021-08-29","1"
"2021-08-28","1"
"2021-08-27","1"
"2021-08-26","1"
"2021-08-25","2"
"2021-08-24","2"
"2021-08-23","4"
"2021-08-22","1"
"2021-08-21","1"
"2021-08-20","1"
"2021-08-19","2"
"2021-08-18","2"
"2021-08-17","1"
"2021-08-16","3"
"2021-08-15","1"
"2021-08-14","1"
"2021-08-13","3"
"2021-08-11","3"
"2021-08-10","4"
"2021-08-09","5"
"2021-08-08","2"
"2021-08-06","1"
"2021-08-04","3"
"2021-08-03","6"
"2021-08-02","4"
"2021-08-01","2"
"2021-07-30","1"
"2021-07-28","1"
"2021-07-27","1"
"2021-07-26","2"
"2021-07-23","2"
"2021-07-22","3"
"2021-07-21","1"
"2021-07-20","1"
"2021-07-19","6"
"2021-07-18","1"
"2021-07-15","1"
"2021-07-14","3"
"2021-07-13","1"
"2021-07-12","4"
"2021-07-11","1"
"2021-07-09","1"
"2021-07-08","2"
"2021-07-07","2"
"2021-07-06","2"
"2021-07-05","3"
"2021-07-02","5"
"2021-07-01","2"
"2021-06-29","2"
"2021-06-28","1"
"2021-06-24","3"
"2021-06-21","1"
"2021-06-19","3"
"2021-06-15","2"
"2021-06-10","2"
"2021-06-09","2"
"2021-06-08","1"
"2021-06-07","2"
"2021-06-04","3"
"2021-06-03","1"
"2021-05-31","4"
"2021-05-29","3"
"2021-05-28","2"
"2021-05-27","1"
"2021-05-26","2"
"2021-05-25","2"
"2021-05-24","5"
"2021-05-22","1"
"2021-05-21","2"
"2021-05-20","2"
"2021-05-14","1"
"2021-05-11","1"
"2021-05-10","1"
"2021-05-08","1"
"2021-05-07","1"
"2021-05-06","1"
"2021-05-05","1"
"2021-05-04","2"
"2021-05-01","1"
"2021-04-29","1"
"2021-04-25","1"
"2021-04-21","1"
"2021-04-19","1"
"2021-04-16","1"
"2021-04-15","1"
"2021-04-14","2"
"2021-04-13","1"
"2021-04-12","3"
"2021-04-11","1"
"2021-04-09","1"
"2021-04-08","1"
"2021-04-07","3"
"2021-04-02","2"
"2021-04-01","1"
"2021-03-31","2"
"2021-03-29","2"
"2021-03-28","2"
"2021-03-26","3"
"2021-03-25","2"
"2021-03-23","1"
"2021-03-22","5"
"2021-03-19","3"
"2021-03-18","2"
"2021-03-16","4"
"2021-03-15","2"
"2021-03-13","1"
"2021-03-12","1"
"2021-03-10","1"
"2021-03-09","2"
"2021-03-08","2"
"2021-03-07","3"
"2021-03-06","1"
"2021-03-05","1"
"2021-03-04","1"
"2021-03-02","3"
"2021-03-01","6"
"2021-02-26","1"
"2021-02-25","3"
"2021-02-23","4"
"2021-02-21","1"
"2021-02-20","1"
"2021-02-17","2"
"2021-02-11","1"
"2021-02-07","3"
"2021-02-06","2"
"2021-02-05","2"
"2021-01-29","1"
"2021-01-26","1"
"2021-01-25","3"
"2021-01-23","1"
"2021-01-22","1"
"2021-01-21","3"
"2021-01-20","2"
"2021-01-19","1"
"2021-01-17","2"
"2021-01-15","3"
"2021-01-14","1"
"2021-01-12","3"
"2021-01-08","2"
"2021-01-07","1"
"2021-01-05","1"
"2020-12-30","8"
"2020-12-29","2"
"2020-12-28","1"
"2020-12-27","2"
"2020-12-24","2"
"2020-12-23","1"
"2020-12-22","3"
"2020-12-21","1"
"2020-12-20","1"
"2020-12-18","1"
"2020-12-17","1"
"2020-12-16","1"
"2020-12-15","1"
"2020-12-14","1"
"2020-12-13","2"
"2020-12-11","1"
"2020-12-10","1"
"2020-12-09","1"
"2020-12-04","4"
"2020-12-03","1"
"2020-12-01","2"
"2020-11-30","3"
"2020-11-25","1"
"2020-11-22","1"
"2020-11-16","1"
"2020-11-15","1"
"2020-11-11","1"
"2020-11-10","3"
"2020-11-08","3"
"2020-11-04","2"
"2020-11-02","1"
"2020-10-29","2"
"2020-10-27","2"
"2020-10-26","1"
"2020-10-25","1"
"2020-10-23","1"
"2020-10-22","1"
"2020-10-19","2"
"2020-10-14","4"
"2020-10-13","2"
"2020-10-08","1"
"2020-10-05","2"
"2020-10-04","1"
