"Date","Products"
"2022-02-19","5"
"2022-02-18","40"
"2022-02-17","66"
"2022-02-16","72"
"2022-02-14","8"
"2022-02-12","3"
"2022-02-11","321"
"2022-02-10","66"
"2022-02-08","2"
"2022-02-07","15"
"2022-02-04","9"
"2022-02-03","3"
"2022-02-02","107"
"2022-02-01","26"
"2022-01-29","5"
"2022-01-28","26"
"2022-01-27","70"
"2022-01-26","72"
"2022-01-25","1"
"2022-01-24","1"
"2022-01-22","4"
"2022-01-21","12"
"2022-01-20","12"
"2022-01-19","75"
"2022-01-15","1"
"2022-01-14","7"
"2022-01-13","20"
"2022-01-12","103"
"2022-01-11","5"
"2022-01-10","8"
"2022-01-07","6"
"2022-01-06","7"
"2022-01-05","23"
"2022-01-04","1"
"2022-01-03","4"
"2021-12-29","73"
"2021-12-27","4"
"2021-12-25","9"
"2021-12-23","116"
"2021-12-22","44"
"2021-12-21","6"
"2021-12-20","52"
"2021-12-18","18"
"2021-12-16","7"
"2021-12-15","50"
"2021-12-14","4"
"2021-12-13","38"
"2021-12-11","1"
"2021-12-10","41"
"2021-12-09","5"
"2021-12-08","73"
"2021-12-07","1"
"2021-12-06","100"
"2021-12-03","1"
"2021-12-02","42"
"2021-12-01","56"
"2021-11-30","3"
"2021-11-29","7"
"2021-11-27","3"
"2021-11-26","1"
"2021-11-24","87"
"2021-11-23","11"
"2021-11-20","62"
"2021-11-19","56"
"2021-11-18","2"
"2021-11-17","91"
"2021-11-16","2"
"2021-11-15","13"
"2021-11-12","5"
"2021-11-11","2"
"2021-11-10","32"
"2021-11-09","7"
"2021-11-08","1"
"2021-11-05","11"
"2021-11-04","15"
"2021-11-03","89"
"2021-11-01","2"
"2021-10-29","25"
"2021-10-28","16"
"2021-10-27","118"
"2021-10-26","4"
"2021-10-25","2"
"2021-10-23","3"
"2021-10-22","1"
"2021-10-21","112"
"2021-10-20","59"
"2021-10-19","1"
"2021-10-18","4"
"2021-10-15","10"
"2021-10-14","35"
"2021-10-13","100"
"2021-10-11","1"
"2021-10-09","56"
"2021-10-08","67"
"2021-10-07","15"
"2021-10-06","61"
"2021-10-05","1"
"2021-10-04","8"
"2021-10-03","1"
"2021-10-01","7"
"2021-09-30","1"
"2021-09-29","16"
"2021-09-28","1"
"2021-09-27","27"
"2021-09-25","7"
"2021-09-24","2"
"2021-09-23","29"
"2021-09-22","56"
"2021-09-21","1"
"2021-09-20","1"
"2021-09-18","37"
"2021-09-17","2"
"2021-09-16","23"
"2021-09-15","85"
"2021-09-14","2"
"2021-09-10","7"
"2021-09-09","45"
"2021-09-08","69"
"2021-09-04","4"
"2021-09-03","1"
"2021-09-02","15"
"2021-09-01","58"
"2021-08-31","2"
"2021-08-30","8"
"2021-08-28","6"
"2021-08-27","2"
"2021-08-26","47"
"2021-08-25","61"
"2021-08-24","5"
"2021-08-21","7"
"2021-08-20","12"
"2021-08-19","67"
"2021-08-18","39"
"2021-08-17","7"
"2021-08-16","32"
"2021-08-13","3"
"2021-08-12","9"
"2021-08-11","66"
"2021-08-07","5"
"2021-08-06","22"
"2021-08-05","2"
"2021-08-04","35"
"2021-08-03","2"
"2021-08-02","10"
"2021-07-31","1"
"2021-07-30","15"
"2021-07-29","30"
"2021-07-28","10"
"2021-07-27","23"
"2021-07-26","1"
"2021-07-24","4"
"2021-07-23","21"
"2021-07-21","29"
"2021-07-20","15"
"2021-07-18","6"
"2021-07-16","19"
"2021-07-15","1"
"2021-07-14","29"
"2021-07-13","25"
"2021-07-12","1"
"2021-07-10","3"
"2021-07-09","1"
"2021-07-08","32"
"2021-07-07","55"
"2021-07-06","6"
"2021-07-01","12"
"2021-06-30","43"
"2021-06-29","2"
"2021-06-28","1"
"2021-06-26","2"
"2021-06-25","12"
"2021-06-24","7"
"2021-06-23","25"
"2021-06-22","3"
"2021-06-21","4"
"2021-06-20","4"
"2021-06-17","5"
"2021-06-16","28"
"2021-06-15","1"
"2021-06-11","13"
"2021-06-10","9"
"2021-06-09","40"
"2021-06-08","4"
"2021-06-07","1"
"2021-06-04","12"
"2021-06-03","5"
"2021-06-02","71"
"2021-06-01","20"
"2021-05-27","10"
"2021-05-26","35"
"2021-05-24","8"
"2021-05-21","6"
"2021-05-20","1"
"2021-05-19","34"
"2021-05-15","3"
"2021-05-13","7"
"2021-05-12","20"
"2021-05-06","7"
"2021-05-05","58"
"2021-05-04","1"
"2021-04-30","22"
"2021-04-29","11"
"2021-04-28","45"
"2021-04-27","9"
"2021-04-26","18"
"2021-04-24","7"
"2021-04-23","8"
"2021-04-22","15"
"2021-04-21","34"
"2021-04-20","5"
"2021-04-17","1"
"2021-04-16","27"
"2021-04-15","3"
"2021-04-14","34"
"2021-04-13","4"
"2021-04-10","9"
"2021-04-09","11"
"2021-04-08","54"
"2021-04-07","2"
"2021-04-06","7"
"2021-04-05","1"
"2021-04-01","20"
"2021-03-31","51"
"2021-03-30","1"
"2021-03-25","3"
"2021-03-24","86"
"2021-03-23","2"
"2021-03-20","2"
"2021-03-19","14"
"2021-03-18","5"
"2021-03-17","42"
"2021-03-16","1"
"2021-03-13","1"
"2021-03-12","4"
"2021-03-11","21"
"2021-03-10","42"
"2021-03-09","2"
"2021-03-07","4"
"2021-03-06","2"
"2021-03-05","2"
"2021-03-04","9"
"2021-03-03","57"
"2021-03-02","4"
"2021-02-27","6"
"2021-02-26","2"
"2021-02-25","3"
"2021-02-24","39"
"2021-02-23","1"
"2021-02-22","5"
"2021-02-20","1"
"2021-02-19","2"
"2021-02-18","30"
"2021-02-17","5"
"2021-02-16","7"
"2021-02-15","15"
"2021-02-12","1"
"2021-02-11","4"
"2021-02-10","46"
"2021-02-06","1"
"2021-02-05","9"
"2021-02-04","4"
"2021-02-03","6"
"2021-02-02","1"
"2021-01-28","22"
"2021-01-27","27"
"2021-01-25","1"
"2021-01-22","2"
"2021-01-21","2"
"2021-01-20","24"
"2021-01-19","3"
"2021-01-16","3"
"2021-01-15","3"
"2021-01-14","7"
"2021-01-13","22"
"2021-01-11","2"
"2021-01-08","3"
"2021-01-07","1"
"2021-01-06","10"
"2021-01-05","5"
"2020-12-30","16"
"2020-12-29","3"
"2020-12-26","1"
"2020-12-24","1"
"2020-12-23","43"
"2020-12-22","1"
"2020-12-19","20"
"2020-12-18","11"
"2020-12-17","1"
