"Date","Products"
"2022-02-17","2"
"2022-02-16","3"
"2022-02-15","1"
"2022-02-02","2"
"2022-01-12","1"
"2022-01-06","2"
"2021-12-23","1"
"2021-12-13","4"
"2021-12-11","1"
"2021-12-09","1"
"2021-12-08","1"
"2021-12-01","1"
"2021-11-24","1"
"2021-11-16","3"
"2021-11-12","2"
"2021-11-02","1"
"2021-10-29","7"
"2021-10-22","2"
"2021-10-19","3"
"2021-10-15","2"
"2021-10-14","1"
"2021-10-11","1"
"2021-10-07","1"
"2021-10-05","2"
"2021-09-28","1"
"2021-09-14","2"
"2021-09-13","1"
"2021-09-10","1"
"2021-09-09","1"
"2021-08-27","1"
"2021-08-10","2"
"2021-08-09","3"
"2021-08-06","11"
"2021-08-02","6"
"2021-07-29","12"
"2021-07-18","4"
"2021-06-24","1"
"2021-06-22","3"
"2021-06-18","5"
"2021-06-08","1"
"2021-05-26","5"
"2021-05-25","1"
"2021-05-18","3"
"2021-05-11","1"
"2021-04-29","2"
"2021-04-14","1"
"2021-04-13","1"
"2021-03-31","2"
"2021-03-23","6"
"2021-03-17","1"
"2021-03-16","3"
"2021-03-11","1"
"2021-02-18","3"
"2021-02-16","4"
"2021-01-26","1"
"2021-01-23","2"
"2020-12-30","2"
"2020-12-16","2"
"2020-12-09","1"
"2020-12-08","6"
"2020-12-07","3"
"2020-11-23","4"
"2020-11-16","4"
"2020-10-27","5"
"2020-10-20","1"
"2020-10-16","2"
"2020-10-14","2"
"2020-10-08","2"
"2020-10-04","1"
"2020-09-20","1"
"2020-09-10","14"
"2020-07-31","2"
"2020-07-21","2"
"2020-07-17","1"
"2020-07-07","1"
"2020-06-30","1"
"2020-06-23","2"
"2020-06-02","1"
"2020-06-01","1"
"2020-05-31","1"
"2020-05-27","1"
"2020-05-26","1"
"2020-05-12","2"
"2020-05-01","1"
"2020-04-28","1"
"2020-04-06","1"
"2020-04-03","1"
"2020-03-20","7"
"2020-03-13","1"
"2020-03-09","3"
"2020-03-02","2"
"2020-02-15","1"
"2020-02-11","1"
"2020-01-30","3"
"2020-01-28","1"
"2020-01-23","1"
"2020-01-22","1"
"2020-01-16","1"
"2020-01-09","1"
"2020-01-07","2"
"2019-12-09","2"
"2019-12-04","1"
"2019-10-24","16"
"2019-09-06","1"
"2019-09-04","1"
"2019-08-16","1"
"2019-08-01","3"
"2019-07-25","15"
"2019-07-10","1"
"2019-07-05","1"
"2019-06-28","1"
"2019-06-27","1"
"2019-06-24","1"
"2019-06-17","1"
"2019-06-10","1"
"2019-06-07","1"
"2019-06-05","1"
"2019-05-23","1"
"2019-04-18","1"
"2019-04-11","1"
"2019-04-03","1"
"2019-03-01","1"
"2019-02-15","1"
"2019-02-11","1"
"2019-02-04","2"
"2019-01-23","2"
"2019-01-07","2"
"2018-12-14","1"
"2018-12-07","1"
"2018-12-05","1"
"2018-12-04","1"
"2018-11-30","1"
"2018-11-26","1"
"2018-11-24","2"
"2018-11-19","4"
"2018-11-14","1"
"2018-10-12","1"
"2018-10-10","2"
"2018-10-05","1"
"2018-09-28","1"
"2018-08-03","3"
"2018-08-02","1"
"2018-07-06","1"
"2018-06-29","6"
"2018-05-09","12"
"2018-04-25","2"
"2018-04-06","2"
"2018-03-29","1"
"2018-01-03","2"
"2017-12-22","1"
"2017-11-16","1"
"2017-11-02","1"
"2017-11-01","1"
"2017-10-27","1"
"2017-10-26","1"
"2017-09-11","1"
"2017-08-15","25"
