"Date","Products"
"2022-02-15","1"
"2022-02-14","6"
"2022-02-13","2"
"2022-02-10","1"
"2022-02-08","3"
"2022-02-07","2"
"2022-02-03","2"
"2022-02-01","1"
"2022-01-31","25"
"2022-01-27","2"
"2022-01-25","1"
"2022-01-24","3"
"2022-01-23","3"
"2022-01-17","5"
"2022-01-15","1"
"2022-01-13","2"
"2022-01-10","8"
"2022-01-07","2"
"2022-01-04","3"
"2022-01-03","3"
"2021-12-21","2"
"2021-12-17","6"
"2021-12-14","2"
"2021-12-10","1"
"2021-12-08","3"
"2021-12-07","3"
"2021-12-06","9"
"2021-12-03","1"
"2021-12-02","3"
"2021-12-01","4"
"2021-11-30","2"
"2021-11-29","2"
"2021-11-25","1"
"2021-11-22","16"
"2021-11-19","2"
"2021-11-17","9"
"2021-11-15","17"
"2021-11-12","3"
"2021-11-08","13"
"2021-11-02","1"
"2021-10-31","1"
"2021-10-26","11"
"2021-10-22","1"
"2021-10-21","8"
"2021-10-20","6"
"2021-10-18","1"
"2021-10-06","1"
"2021-10-04","15"
"2021-10-01","1"
"2021-09-29","9"
"2021-09-27","1"
"2021-09-22","2"
"2021-09-14","7"
"2021-08-30","3"
"2021-08-27","3"
"2021-08-23","1"
"2021-08-22","1"
"2021-08-16","7"
"2021-08-09","5"
"2021-08-03","3"
"2021-07-26","1"
"2021-07-21","2"
"2021-07-14","1"
"2021-07-07","6"
"2021-07-05","1"
"2021-06-29","1"
"2021-06-28","2"
"2021-06-25","61"
"2021-06-22","6"
"2021-06-21","6"
"2021-06-14","1"
"2021-05-26","3"
"2021-05-25","10"
"2021-05-21","37"
"2021-05-20","1"
"2021-05-18","1"
"2021-05-12","3"
"2021-05-05","1"
"2021-04-29","20"
"2021-04-28","5"
"2021-04-21","4"
"2021-04-13","1"
"2021-04-12","1"
"2021-03-24","1"
"2021-03-19","2"
"2021-03-08","1"
"2021-02-19","1"
"2021-02-16","7"
"2021-02-10","2"
"2021-02-08","2"
"2021-02-02","5"
"2021-01-21","1"
"2021-01-04","6"
"2020-12-14","1"
"2020-12-08","1"
"2020-11-24","1"
"2020-11-23","2"
"2020-11-20","18"
"2020-11-19","1"
"2020-11-12","7"
"2020-11-09","2"
"2020-10-14","12"
"2020-09-29","1"
"2020-09-28","1"
"2020-09-25","15"
"2020-09-02","1"
"2020-06-19","2"
"2020-06-01","3"
"2020-04-13","1"
"2020-04-06","1"
