"Date","Products"
"2022-02-18","4"
"2022-02-16","2"
"2022-02-15","28"
"2022-02-11","3"
"2022-02-07","8"
"2022-02-04","22"
"2022-02-02","3"
"2022-02-01","12"
"2022-01-31","1"
"2022-01-27","2"
"2022-01-26","11"
"2022-01-21","19"
"2022-01-19","27"
"2022-01-18","3"
"2022-01-16","14"
"2022-01-14","13"
"2022-01-11","39"
"2022-01-10","1"
"2022-01-09","65"
"2022-01-08","27"
"2022-01-07","21"
"2022-01-05","2"
"2022-01-04","5"
"2022-01-03","317"
"2021-12-31","14"
"2021-12-30","89"
"2021-12-29","6"
"2021-12-28","3"
"2021-12-27","29"
"2021-12-24","18"
"2021-12-22","191"
"2021-12-21","55"
"2021-12-20","1"
"2021-12-18","4"
"2021-12-17","14"
"2021-12-10","19"
"2021-12-08","51"
"2021-12-07","1"
"2021-12-02","50"
"2021-11-30","49"
"2021-11-29","12"
"2021-11-26","15"
"2021-11-24","34"
"2021-11-23","2"
"2021-11-22","77"
"2021-11-20","23"
"2021-11-19","15"
"2021-11-18","5"
"2021-11-17","14"
"2021-11-16","42"
"2021-11-15","202"
"2021-11-12","18"
"2021-11-11","24"
"2021-11-10","355"
"2021-11-09","1"
"2021-11-08","2"
"2021-11-06","28"
"2021-11-04","18"
"2021-11-02","3"
"2021-11-01","1"
"2021-10-29","121"
"2021-10-27","27"
"2021-10-26","2"
"2021-10-25","70"
"2021-10-22","1"
"2021-10-20","25"
"2021-10-19","1"
"2021-10-16","38"
"2021-10-13","35"
"2021-10-12","1"
"2021-10-11","26"
"2021-10-07","1"
"2021-10-01","44"
"2021-09-30","294"
"2021-09-29","1"
"2021-09-27","444"
"2021-09-24","56"
"2021-09-22","72"
"2021-09-19","4"
"2021-09-18","28"
"2021-09-15","3"
"2021-09-14","19"
"2021-09-08","97"
"2021-09-07","24"
"2021-09-03","34"
"2021-08-31","24"
"2021-08-30","1"
"2021-08-28","16"
"2021-08-25","1"
"2021-08-24","1"
"2021-08-23","31"
"2021-08-20","23"
"2021-08-19","10"
"2021-08-18","33"
"2021-08-16","2"
"2021-08-15","2"
"2021-08-14","23"
"2021-08-13","52"
"2021-08-12","1"
"2021-08-11","7"
"2021-08-10","5"
"2021-08-02","5"
"2021-08-01","1"
"2021-07-31","11"
"2021-07-30","62"
"2021-07-29","2"
"2021-07-28","13"
"2021-07-27","73"
"2021-07-23","105"
"2021-07-22","14"
"2021-07-16","37"
"2021-07-15","21"
"2021-07-14","17"
"2021-07-07","6"
"2021-07-06","1"
"2021-07-05","1"
"2021-07-02","35"
"2021-07-01","12"
"2021-06-30","2"
"2021-06-29","1"
"2021-06-25","26"
"2021-06-23","1"
"2021-06-21","1"
"2021-06-20","1"
"2021-06-19","33"
"2021-06-18","4"
"2021-06-17","10"
"2021-06-16","6"
"2021-06-14","1"
"2021-06-12","24"
"2021-06-11","45"
"2021-06-10","16"
"2021-06-09","1"
"2021-06-08","5"
"2021-06-06","1"
"2021-06-05","1"
"2021-06-01","24"
"2021-05-30","1"
"2021-05-28","9"
"2021-05-21","29"
"2021-05-19","9"
"2021-05-14","108"
"2021-05-10","6"
"2021-05-06","70"
"2021-04-30","3"
"2021-04-28","1"
"2021-04-23","119"
"2021-04-15","825"
