"Date","Products"
"2022-02-14","5"
"2022-02-11","1"
"2022-02-10","16"
"2022-02-09","3"
"2022-02-08","1"
"2022-02-07","1"
"2022-02-04","21"
"2022-02-03","7"
"2022-01-25","2"
"2022-01-24","1"
"2022-01-18","1"
"2022-01-15","7"
"2022-01-13","47"
"2022-01-07","1"
"2022-01-05","3"
"2022-01-03","3"
"2021-12-29","3"
"2021-12-28","7"
"2021-12-24","2"
"2021-12-20","1"
"2021-12-16","5"
"2021-12-15","21"
"2021-12-13","6"
"2021-12-10","6"
"2021-12-09","3"
"2021-12-08","2"
"2021-12-07","5"
"2021-12-06","2"
"2021-12-01","4"
"2021-11-30","8"
"2021-11-24","1"
"2021-11-22","3"
"2021-11-19","3"
"2021-11-18","33"
"2021-11-12","27"
"2021-11-11","8"
"2021-11-10","5"
"2021-11-09","2"
"2021-11-08","1"
"2021-11-04","19"
"2021-11-03","3"
"2021-11-02","6"
"2021-11-01","3"
"2021-10-28","1"
"2021-10-27","1"
"2021-10-22","8"
"2021-10-14","21"
"2021-10-12","16"
"2021-10-08","1"
"2021-10-06","15"
"2021-10-04","3"
"2021-10-01","5"
"2021-09-30","1"
"2021-09-23","1"
"2021-09-22","2"
"2021-09-20","1"
"2021-09-16","6"
"2021-09-15","4"
"2021-09-14","91"
"2021-09-11","1"
"2021-09-09","51"
"2021-09-07","1"
"2021-09-01","13"
"2021-08-23","1"
"2021-08-20","2"
"2021-08-18","3"
"2021-08-16","1"
"2021-08-12","3"
"2021-08-10","2"
"2021-07-22","11"
"2021-07-20","1"
"2021-07-13","3"
"2021-07-02","3"
"2021-07-01","15"
"2021-06-28","6"
"2021-06-17","3"
"2021-06-15","2"
"2021-06-10","1"
"2021-06-04","1"
"2021-05-27","1"
"2021-05-25","7"
"2021-05-20","3"
"2021-05-13","1"
"2021-05-06","6"
"2021-04-29","8"
"2021-04-27","11"
"2021-04-22","1"
"2021-04-20","1"
"2021-04-13","6"
"2021-04-02","7"
"2021-03-16","21"
"2021-03-09","2"
"2021-03-02","2"
"2021-03-01","1"
"2021-02-23","3"
"2021-02-19","2"
"2021-02-17","10"
"2021-02-16","37"
"2021-02-11","8"
"2021-01-07","5"
"2021-01-05","5"
"2020-12-30","17"
"2020-12-29","9"
"2020-11-16","1"
"2020-11-12","1"
"2020-11-05","7"
"2020-11-03","3"
"2020-10-30","1"
"2020-10-27","3"
"2020-10-06","2"
"2020-10-01","7"
"2020-09-22","7"
"2020-09-17","14"
"2020-09-16","1"
"2020-09-15","8"
"2020-09-11","9"
"2020-09-10","15"
"2020-09-02","2"
"2020-09-01","10"
"2020-08-27","1"
"2020-08-25","7"
"2020-08-18","10"
"2020-08-12","1"
"2020-08-11","11"
"2020-08-10","1"
"2020-08-04","1"
"2020-07-30","38"
"2020-07-17","1"
"2020-06-25","5"
"2020-06-24","1"
"2020-06-18","1"
"2020-05-20","6"
"2020-03-27","1"
"2020-03-23","5"
"2020-03-20","1"
"2020-02-27","8"
"2020-02-13","11"
"2020-02-04","8"
"2020-01-28","1"
"2020-01-16","3"
"2020-01-13","1"
"2019-12-19","14"
"2019-12-12","1"
"2019-11-30","1"
"2019-11-15","6"
"2019-11-07","2"
"2019-11-05","1"
"2019-10-24","7"
"2019-10-17","3"
"2019-10-08","7"
"2019-09-26","9"
"2019-09-16","13"
"2019-09-13","1"
"2019-08-27","9"
"2019-08-20","10"
"2019-08-04","10"
"2019-07-16","1"
"2019-06-18","1"
"2019-05-14","1"
"2019-05-04","5"
"2019-04-25","5"
"2019-04-04","8"
"2019-03-19","3"
"2019-02-28","1"
"2019-02-20","1"
"2019-02-08","3"
"2019-01-22","2"
"2019-01-17","36"
"2018-12-26","5"
"2018-12-21","9"
"2018-11-13","1"
"2018-10-17","1"
"2018-08-28","3"
"2018-08-23","19"
"2018-08-21","1"
"2018-07-10","20"
"2018-06-14","12"
"2018-05-31","13"
"2018-05-11","1"
"2018-04-26","4"
"2018-04-16","1"
"2018-04-12","1"
"2018-02-15","5"
"2018-02-13","1"
"2018-01-23","1"
"2017-12-28","1"
"2017-12-15","29"
"2017-10-26","1"
"2017-09-25","1"
"2017-09-21","1"
"2017-09-05","13"
"2017-07-31","3"
"2017-06-01","1"
"2017-01-06","1"
"2017-01-04","1"
"2016-08-26","2"
"2016-08-22","12"
"2016-07-15","12"
"2016-06-20","1"
"2016-02-18","1"
"2015-08-14","1"
"2015-06-16","1"
"2015-04-06","1"
"2015-03-05","17"
"2015-02-24","13"
"2015-01-10","1"
