"Date","Products"
"2022-02-11","1"
"2022-02-07","1"
"2022-01-31","4"
"2022-01-28","2"
"2022-01-25","2"
"2022-01-16","2"
"2022-01-03","1"
"2021-12-16","2"
"2021-11-23","1"
"2021-11-19","1"
"2021-11-17","1"
"2021-11-05","2"
"2021-11-02","1"
"2021-10-21","1"
"2021-09-27","1"
"2021-09-22","1"
"2021-08-17","1"
"2021-08-03","1"
"2021-07-20","1"
"2021-07-07","1"
"2021-06-17","1"
"2021-05-29","1"
"2021-05-21","1"
"2021-05-20","1"
"2021-05-06","1"
"2021-02-24","1"
"2021-01-29","1"
"2021-01-13","1"
"2020-11-27","1"
"2020-11-24","1"
"2020-11-06","1"
"2020-11-05","1"
"2020-10-28","1"
"2020-10-07","1"
"2020-09-30","1"
"2020-09-22","1"
"2020-05-04","1"
"2020-04-13","1"
"2020-02-13","1"
"2020-01-23","2"
"2020-01-22","2"
"2020-01-10","1"
"2019-12-30","1"
"2019-11-25","1"
"2019-11-21","1"
"2019-11-06","3"
"2019-10-25","1"
"2019-10-22","1"
"2019-10-07","1"
"2019-10-04","1"
"2019-10-02","1"
"2019-09-23","1"
"2019-08-22","2"
"2019-07-31","1"
"2019-06-07","1"
"2019-05-16","1"
"2019-01-28","4"
"2018-12-07","1"
"2018-12-02","1"
"2018-11-07","1"
"2018-08-21","1"
"2017-12-05","1"
"2017-06-28","2"
"2017-04-18","1"
"2015-12-21","1"
"2015-10-08","1"
"2014-09-05","1"
"2014-08-28","5"
