"Date","Products"
"2022-02-15","1"
"2022-02-01","4"
"2022-01-25","24"
"2021-12-27","2"
"2021-12-15","1"
"2021-12-14","1"
"2021-12-06","40"
"2021-11-01","21"
"2021-10-11","1"
"2021-10-05","17"
"2021-10-01","1"
"2021-09-14","22"
"2021-09-01","1"
"2021-08-31","7"
"2021-08-26","1"
"2021-08-25","36"
"2021-08-10","16"
"2021-07-20","14"
"2021-07-12","1"
"2021-06-23","2"
"2021-06-08","5"
"2021-05-27","1"
"2021-05-18","25"
"2021-05-04","24"
"2021-04-22","5"
"2021-03-22","1"
"2021-02-21","38"
"2021-01-12","1"
"2020-12-31","1"
"2020-12-14","5"
"2020-12-07","1"
"2020-12-04","1"
"2020-12-02","3"
"2020-10-08","1"
"2020-09-28","2"
"2020-09-07","2"
"2020-08-24","10"
"2020-08-10","20"
"2020-07-08","2"
"2020-05-21","46"
"2020-05-04","11"
"2020-03-25","12"
"2020-03-17","2"
"2020-03-06","4"
"2020-02-03","12"
"2020-01-22","17"
"2020-01-06","26"
"2019-12-15","26"
"2019-11-04","5"
"2019-11-01","16"
"2019-10-08","21"
"2019-10-07","1"
"2019-09-16","8"
"2019-09-08","3"
"2019-09-04","20"
"2019-08-27","1"
"2019-08-20","12"
"2019-08-05","14"
"2019-07-29","1"
"2019-07-23","26"
"2019-07-18","3"
"2019-07-08","13"
"2019-06-24","27"
"2019-06-13","2"
"2019-06-11","20"
"2019-06-10","3"
"2019-05-31","1"
"2019-05-29","1"
"2019-05-28","1"
"2019-05-24","2"
"2019-05-16","29"
"2019-05-03","1"
"2019-05-02","21"
"2019-04-03","37"
"2019-03-19","17"
"2019-02-26","27"
"2019-01-29","1"
"2019-01-04","15"
"2018-12-09","6"
"2018-12-04","1"
"2018-11-12","2"
"2018-10-29","23"
"2018-10-08","1"
"2018-08-23","35"
"2018-06-18","21"
"2018-05-21","1"
"2018-04-20","18"
"2018-04-19","3"
"2018-04-16","26"
"2018-03-28","3"
"2017-11-16","1"
"2017-10-30","4"
"2017-10-28","1"
"2017-10-27","3"
"2017-10-26","2"
"2017-10-25","2"
"2017-10-24","3"
"2017-10-23","3"
"2017-10-22","6"
"2017-10-21","1"
"2017-10-20","2"
"2017-10-16","1"
"2016-11-29","1"
