"Date","Products"
"2022-02-16","2"
"2022-01-26","5"
"2022-01-05","3"
"2021-11-17","1"
"2021-10-27","1"
"2021-10-06","1"
"2021-10-01","1"
"2021-08-18","1"
"2021-07-28","1"
"2021-07-07","4"
"2021-06-30","7"
"2021-06-10","1"
"2021-05-19","8"
"2021-05-06","6"
"2021-05-05","1"
"2021-04-28","5"
"2021-04-07","2"
"2021-03-31","1"
"2021-03-24","2"
"2021-03-17","4"
"2021-02-24","9"
"2021-02-12","1"
"2021-01-27","1"
"2020-11-27","1"
"2020-10-20","1"
"2020-10-19","1"
"2020-10-13","2"
"2020-10-07","1"
"2020-09-29","1"
"2020-08-28","1"
"2020-08-27","1"
"2020-08-05","1"
"2020-07-28","2"
"2020-07-20","2"
"2020-06-29","1"
"2020-06-17","6"
"2020-06-03","5"
"2020-05-20","1"
"2020-05-06","1"
"2020-04-28","7"
"2020-04-20","8"
"2020-03-11","3"
"2020-02-19","9"
"2020-01-08","2"
"2019-11-04","1"
"2019-10-22","1"
"2019-10-07","1"
"2019-09-25","3"
"2019-09-09","2"
"2019-06-18","1"
"2019-06-05","1"
"2019-03-13","5"
"2019-01-15","1"
"2018-11-01","1"
"2018-10-25","3"
"2018-08-10","2"
"2018-08-09","1"
"2018-08-03","1"
"2018-06-29","1"
"2018-05-04","1"
"2018-04-30","13"
