"Date","Products"
"2022-02-18","13"
"2022-02-17","8"
"2022-02-11","4"
"2022-02-10","9"
"2022-02-09","1"
"2022-02-07","1"
"2022-02-04","1"
"2022-02-03","3"
"2022-02-02","4"
"2022-01-25","1"
"2022-01-21","7"
"2022-01-20","4"
"2022-01-19","3"
"2022-01-18","1"
"2022-01-14","2"
"2022-01-13","9"
"2022-01-12","30"
"2022-01-07","1"
"2022-01-06","2"
"2022-01-05","2"
"2021-12-29","3"
"2021-12-28","1"
"2021-12-21","1"
"2021-12-16","9"
"2021-12-15","1"
"2021-12-14","1"
"2021-12-09","3"
"2021-12-08","1"
"2021-12-03","6"
"2021-12-01","1"
"2021-11-30","1"
"2021-11-26","4"
"2021-11-25","3"
"2021-11-24","4"
"2021-11-23","26"
"2021-11-22","3"
"2021-11-18","2"
"2021-11-17","10"
"2021-11-16","10"
"2021-11-12","41"
"2021-11-10","2"
"2021-11-09","16"
"2021-10-28","2"
"2021-10-20","5"
"2021-10-19","1"
"2021-10-18","1"
"2021-10-08","1"
"2021-10-04","14"
"2021-09-28","2"
"2021-09-22","1"
"2021-09-20","3"
"2021-09-15","3"
"2021-09-14","1"
"2021-09-10","1"
"2021-09-08","1"
"2021-08-20","1"
"2021-08-16","3"
"2021-08-11","3"
"2021-08-03","2"
"2021-07-29","1"
"2021-07-28","2"
"2021-07-23","1"
"2021-07-15","1"
"2021-07-14","1"
"2021-07-09","1"
"2021-07-08","1"
"2021-06-30","1"
"2021-06-29","5"
"2021-06-25","28"
"2021-06-24","1"
"2021-06-17","5"
"2021-06-16","11"
"2021-06-14","1"
"2021-06-09","5"
"2021-06-03","2"
"2021-06-02","1"
"2021-06-01","1"
"2021-05-31","2"
"2021-05-24","1"
"2021-05-20","1"
"2021-05-19","3"
"2021-05-12","1"
"2021-05-06","3"
"2021-04-30","2"
"2021-04-29","2"
"2021-04-22","3"
"2021-04-13","1"
"2021-03-30","2"
"2021-03-23","1"
"2021-03-22","4"
"2021-02-26","1"
"2021-02-23","1"
"2021-02-22","7"
"2021-02-17","2"
"2021-02-15","4"
"2021-02-12","4"
"2021-02-09","2"
"2021-01-22","4"
"2021-01-11","1"
"2021-01-04","2"
"2020-12-30","1"
"2020-12-11","4"
"2020-12-04","1"
"2020-12-03","2"
"2020-11-30","1"
"2020-11-27","3"
"2020-11-24","1"
"2020-11-19","2"
"2020-11-12","4"
"2020-11-11","1"
"2020-11-10","1"
"2020-11-09","23"
"2020-11-05","1"
"2020-10-29","1"
"2020-10-28","18"
"2020-10-19","1"
"2020-10-15","1"
"2020-10-13","14"
"2020-10-12","1"
"2020-10-06","1"
"2020-10-05","1"
"2020-10-02","1"
"2020-09-30","4"
"2020-09-29","4"
"2020-09-24","9"
"2020-09-23","6"
"2020-09-18","1"
"2020-09-15","1"
"2020-08-26","4"
"2020-08-24","1"
"2020-08-21","1"
"2020-08-17","3"
"2020-08-10","1"
"2020-08-04","1"
"2020-07-28","4"
"2020-07-21","1"
"2020-07-17","1"
"2020-07-10","1"
"2020-06-29","1"
"2020-06-16","6"
"2020-06-09","1"
"2020-06-08","2"
"2020-05-25","1"
"2020-05-18","3"
"2020-05-06","1"
"2020-04-29","5"
"2020-04-28","2"
"2020-04-27","1"
"2020-04-23","2"
"2020-04-13","2"
"2020-04-01","2"
"2020-03-26","2"
"2020-02-27","2"
"2020-02-06","1"
"2020-02-03","8"
"2020-01-21","6"
"2020-01-20","4"
"2020-01-10","1"
"2020-01-08","1"
"2019-12-09","2"
"2019-12-03","2"
"2019-11-22","1"
"2019-10-24","1"
"2019-10-23","2"
"2019-10-22","4"
"2019-10-21","1"
"2019-10-08","1"
"2019-10-01","7"
"2019-09-26","1"
"2019-09-24","5"
"2019-09-13","8"
"2019-09-11","3"
"2019-09-10","1"
"2019-09-09","10"
"2019-09-06","1"
"2019-09-05","6"
"2019-09-04","3"
"2019-09-02","1"
"2019-08-30","1"
"2019-08-27","8"
"2019-08-21","5"
"2019-08-20","4"
"2019-08-14","2"
"2019-08-05","1"
"2019-07-30","1"
"2019-07-24","2"
"2019-07-23","1"
"2019-07-22","1"
"2019-07-19","2"
"2019-07-16","1"
"2019-07-08","2"
"2019-07-04","3"
"2019-05-31","3"
"2019-05-10","1"
"2019-05-09","3"
"2019-05-02","4"
"2019-04-01","9"
"2019-03-13","1"
"2019-02-19","2"
"2019-01-04","3"
"2019-01-03","1"
"2019-01-02","1"
"2018-11-24","1"
"2018-11-07","2"
"2018-11-06","10"
"2018-08-16","7"
"2018-04-16","7"
