"Date","Products"
"2022-02-10","3"
"2022-02-03","9"
"2021-11-12","1"
"2021-10-22","3"
"2021-10-11","2"
"2021-10-08","9"
"2021-09-24","3"
"2021-09-03","3"
"2021-09-01","14"
"2021-08-09","3"
"2021-07-22","3"
"2021-07-20","3"
"2021-07-19","3"
"2021-07-15","9"
"2021-05-25","3"
"2021-05-21","6"
"2021-03-16","3"
"2021-02-17","1"
"2021-01-14","3"
"2020-12-15","97"
"2020-12-01","6"
"2020-11-23","1"
"2020-11-20","5"
"2020-11-10","9"
"2020-11-02","1"
"2020-10-31","1"
"2020-10-30","4"
"2020-10-23","1"
"2020-10-13","3"
"2020-10-11","31"
"2020-10-08","6"
"2020-10-07","3"
"2020-10-06","3"
"2020-10-05","4"
"2020-09-25","30"
"2020-09-23","1"
"2020-09-15","43"
"2020-08-27","3"
"2020-08-18","3"
"2020-07-31","5"
"2020-07-21","1"
"2020-07-14","7"
"2020-07-02","1"
"2020-06-15","4"
"2020-06-11","1"
"2020-06-02","4"
"2020-05-01","4"
"2020-04-14","3"
"2020-03-27","3"
"2020-03-26","3"
"2020-03-25","2"
"2020-03-24","6"
"2020-03-04","1"
"2020-01-27","2"
"2020-01-20","1"
"2020-01-13","6"
"2020-01-09","1"
"2019-12-23","3"
"2019-12-18","1"
"2019-12-17","9"
"2019-11-25","12"
"2019-11-24","7"
"2019-11-21","1"
"2019-11-17","7"
"2019-11-12","7"
"2019-11-07","3"
"2019-11-06","3"
"2019-11-05","2"
"2019-11-04","1"
"2019-10-28","3"
"2019-10-23","21"
"2019-10-22","8"
"2019-10-18","2"
"2019-10-11","6"
"2019-10-08","3"
"2019-10-05","1"
"2019-10-04","74"
"2019-10-03","22"
"2019-09-23","11"
"2019-09-11","1"
"2019-08-27","4"
"2019-08-15","3"
"2019-08-12","3"
"2019-08-09","3"
"2019-08-07","9"
"2019-08-02","3"
"2019-07-31","3"
"2019-07-30","7"
"2019-07-26","13"
"2019-07-24","3"
"2019-07-23","7"
"2019-07-16","10"
"2019-07-15","13"
"2019-06-10","15"
"2019-05-15","8"
"2019-05-10","3"
"2019-05-01","4"
"2019-04-12","8"
"2019-04-08","8"
"2019-04-02","4"
"2019-03-28","2"
"2019-03-27","12"
"2019-03-15","5"
"2019-03-10","5"
"2019-03-01","3"
"2019-02-01","6"
"2019-01-29","16"
"2019-01-22","11"
"2019-01-13","6"
"2019-01-04","11"
"2019-01-02","6"
"2018-12-14","1"
"2018-12-13","6"
"2018-12-10","6"
"2018-12-08","5"
"2018-11-09","6"
"2018-11-06","2"
"2018-11-02","2"
"2018-10-30","2"
"2018-10-04","6"
"2018-09-25","6"
"2018-09-24","6"
"2018-09-11","18"
"2018-09-09","6"
"2018-08-27","6"
"2018-08-18","15"
"2018-08-03","5"
"2018-08-02","1"
"2018-07-21","16"
"2018-07-20","6"
"2018-07-10","11"
"2018-07-01","5"
"2018-06-30","6"
"2018-06-16","4"
"2018-05-15","14"
"2018-05-02","4"
"2018-04-24","6"
"2018-04-17","12"
"2018-04-10","6"
"2018-04-09","8"
"2018-04-05","12"
"2018-03-22","10"
"2018-03-07","15"
"2018-02-23","4"
"2018-02-15","20"
"2018-01-30","15"
"2018-01-24","7"
"2018-01-23","5"
"2018-01-14","8"
"2018-01-09","4"
"2018-01-08","3"
"2018-01-05","4"
"2017-12-20","4"
"2017-11-27","10"
"2017-11-07","16"
"2017-11-03","5"
"2017-11-02","1"
"2017-10-30","1"
"2017-10-20","2"
"2017-10-18","12"
"2017-09-08","4"
"2017-09-07","22"
"2017-08-24","10"
"2017-08-14","6"
"2017-08-10","23"
"2017-07-31","5"
"2017-07-25","10"
"2017-07-24","9"
"2017-07-21","5"
"2017-07-19","21"
"2017-07-12","3"
"2017-07-05","1"
"2017-06-27","9"
"2017-06-25","5"
"2017-06-19","71"
"2017-06-09","4"
"2017-06-08","15"
"2017-06-02","3"
"2017-05-25","9"
"2017-05-24","9"
"2017-05-11","4"
"2017-05-10","9"
"2017-05-05","2"
"2017-05-04","4"
"2017-05-03","6"
"2017-04-16","4"
"2017-04-13","9"
"2017-04-09","12"
"2017-03-28","12"
"2017-03-22","1"
"2017-03-16","4"
"2017-03-15","4"
"2017-03-01","10"
"2017-02-22","1"
"2017-02-16","8"
"2017-02-15","16"
"2017-02-02","8"
"2017-01-31","5"
"2017-01-22","17"
"2017-01-20","5"
"2017-01-18","1"
"2017-01-14","2"
"2017-01-12","14"
"2017-01-04","5"
"2017-01-03","1"
"2016-12-29","3"
"2016-12-27","2"
"2016-12-19","3"
"2016-12-15","8"
"2016-12-04","12"
"2016-11-30","2"
"2016-11-17","12"
"2016-11-15","3"
"2016-11-08","6"
"2016-11-04","5"
"2016-11-03","10"
"2016-10-30","1"
"2016-10-20","20"
"2016-10-19","5"
"2016-10-12","4"
"2016-10-08","5"
"2016-09-30","2"
"2016-09-29","6"
"2016-09-15","15"
"2016-09-14","6"
"2016-09-09","2"
"2016-09-08","4"
"2016-09-04","6"
"2016-09-02","1"
"2016-09-01","1"
"2016-08-31","3"
"2016-08-29","2"
"2016-08-26","6"
"2016-08-25","12"
"2016-08-23","1"
"2016-08-16","4"
"2016-08-15","15"
"2016-08-11","4"
"2016-08-04","14"
"2016-08-03","6"
"2016-07-28","32"
"2016-07-26","8"
"2016-07-21","20"
"2016-07-14","13"
"2016-07-08","8"
"2016-06-30","8"
"2016-06-29","1"
"2016-06-24","1"
"2016-06-23","4"
"2016-06-21","4"
"2016-06-17","1"
"2016-06-16","8"
"2016-06-13","4"
"2016-06-10","3"
"2016-06-09","4"
"2016-06-07","12"
"2016-06-01","5"
"2016-05-24","4"
"2016-05-17","2"
"2016-05-16","4"
"2016-05-13","4"
"2016-05-11","4"
"2016-05-08","8"
"2016-04-29","4"
"2016-04-28","4"
"2016-04-26","1"
"2016-04-20","1"
"2016-04-17","4"
"2016-04-15","5"
"2016-04-13","4"
"2016-04-12","11"
"2016-04-08","4"
"2016-04-06","8"
"2016-03-29","8"
"2016-03-22","8"
"2016-03-18","4"
"2016-03-15","4"
"2016-03-09","1"
"2016-03-07","1"
"2016-03-02","2"
"2016-02-24","1"
"2016-02-15","1"
"2016-02-12","2"
"2016-02-10","2"
"2016-02-01","2"
"2016-01-21","2"
"2016-01-20","3"
"2016-01-19","2"
"2016-01-13","2"
"2016-01-09","1"
"2016-01-08","1"
"2016-01-07","49"
"2016-01-02","4"
"2015-12-31","7"
"2015-12-30","14"
"2015-12-29","3"
"2015-12-28","15"
"2015-12-27","14"
"2015-12-24","58"
"2015-12-20","3"
