"Date","Products"
"2021-12-10","3"
"2021-11-25","20"
"2021-11-23","5"
"2021-11-15","12"
"2021-11-08","5"
"2021-11-04","1"
"2021-11-02","2"
"2021-10-26","1"
"2021-10-20","3"
"2021-10-19","8"
"2021-10-14","2"
"2021-10-11","10"
"2021-09-29","9"
"2021-09-27","1"
"2021-09-10","31"
"2021-09-09","2"
"2021-09-02","5"
"2021-08-11","1"
"2021-07-28","4"
"2021-07-14","2"
"2021-07-02","5"
"2021-07-01","1"
"2021-06-17","13"
"2021-06-15","8"
"2021-06-14","8"
"2021-06-11","15"
"2021-06-10","1"
"2021-06-01","5"
"2021-05-28","5"
"2021-05-27","29"
"2021-05-26","19"
"2021-05-25","3"
"2021-05-20","1"
"2021-05-17","3"
"2021-05-14","14"
"2021-05-11","4"
"2021-05-04","11"
"2021-05-03","10"
"2021-04-30","4"
"2021-04-26","4"
"2021-04-20","1"
"2021-04-16","1"
"2021-04-14","2"
"2021-04-12","1"
"2021-03-30","10"
"2021-03-18","1"
"2021-03-15","2"
"2021-03-04","1"
"2021-02-24","4"
"2021-02-19","3"
"2021-02-16","17"
"2021-01-26","4"
"2021-01-20","1"
"2020-11-27","19"
"2020-11-26","11"
"2020-11-23","1"
"2020-11-18","1"
"2020-11-13","2"
"2020-11-12","7"
"2020-11-02","1"
"2020-10-30","1"
"2020-10-27","8"
"2020-10-21","2"
"2020-10-20","22"
"2020-10-19","26"
"2020-10-15","6"
"2020-10-14","1"
"2020-10-12","29"
"2020-10-09","2"
"2020-10-08","23"
"2020-10-07","13"
"2020-10-02","6"
"2020-10-01","1"
"2020-09-30","9"
"2020-09-28","13"
"2020-09-23","19"
"2020-09-22","2"
"2020-09-21","6"
"2020-09-18","5"
"2020-09-16","1"
"2020-09-12","5"
"2020-09-11","23"
