"Date","Products"
"2022-02-17","2"
"2022-02-15","1"
"2022-02-14","1"
"2022-02-09","9"
"2022-01-31","12"
"2022-01-25","74"
"2022-01-21","5"
"2022-01-19","4"
"2022-01-14","9"
"2022-01-11","8"
"2022-01-10","14"
"2022-01-03","2"
"2021-12-28","9"
"2021-12-14","1"
"2021-12-08","3"
"2021-12-03","5"
"2021-11-30","2"
"2021-11-23","1"
"2021-11-22","3"
"2021-11-17","11"
"2021-11-16","2"
"2021-11-15","425"
"2021-11-12","4"
"2021-11-11","32"
"2021-11-10","6"
"2021-11-09","12"
"2021-11-08","5"
"2021-11-04","5"
"2021-11-03","4"
"2021-11-02","1"
"2021-11-01","62"
"2021-10-28","18"
"2021-10-26","80"
"2021-10-25","94"
"2021-09-15","1"
"2021-09-02","522"
"2021-05-04","4"
