"Date","Products"
"2022-02-17","2"
"2022-02-12","1"
"2022-02-07","1"
"2022-02-06","2"
"2022-01-27","1"
"2022-01-26","1"
"2022-01-20","1"
"2022-01-19","2"
"2022-01-17","2"
"2022-01-15","2"
"2022-01-12","3"
"2022-01-10","3"
"2022-01-06","3"
"2022-01-05","8"
"2021-12-30","2"
"2021-12-27","2"
"2021-12-25","1"
"2021-12-24","3"
"2021-12-14","4"
"2021-12-08","3"
"2021-11-29","1"
"2021-11-28","1"
"2021-11-26","11"
"2021-11-25","7"
"2021-11-24","4"
"2021-11-23","18"
"2021-11-21","4"
"2021-11-20","2"
"2021-11-19","2"
"2021-11-16","2"
"2021-11-15","3"
"2021-11-13","6"
"2021-11-12","3"
"2021-11-11","1"
"2021-11-09","2"
"2021-11-05","3"
"2021-10-30","3"
"2021-10-27","1"
"2021-10-25","1"
"2021-10-08","1"
"2021-09-25","2"
"2021-09-18","2"
"2021-09-17","1"
"2021-09-11","1"
"2021-08-13","2"
"2021-08-12","1"
"2021-07-30","1"
"2021-07-28","1"
"2021-07-14","1"
"2021-07-05","1"
"2021-07-01","1"
"2021-05-22","1"
"2021-05-14","2"
"2021-05-10","1"
"2021-05-04","1"
"2021-04-06","1"
"2021-04-02","1"
"2021-03-26","2"
"2021-03-24","2"
"2021-03-22","1"
"2021-03-19","1"
"2021-03-16","1"
"2021-03-13","2"
"2021-03-12","3"
"2021-03-11","1"
"2021-03-04","2"
"2021-03-03","1"
"2021-03-02","1"
"2021-02-25","1"
"2021-02-20","2"
"2021-02-07","2"
"2021-02-01","1"
"2021-01-28","1"
"2021-01-22","1"
"2021-01-12","1"
"2021-01-04","1"
"2021-01-03","1"
"2020-12-29","1"
"2020-12-24","2"
"2020-12-22","1"
"2020-12-15","1"
"2020-12-05","1"
"2020-11-30","1"
"2020-11-27","1"
"2020-11-25","1"
"2020-11-22","1"
"2020-11-21","2"
"2020-11-11","3"
"2020-11-08","2"
"2020-11-06","1"
"2020-11-02","1"
"2020-10-29","1"
"2020-10-27","1"
"2020-10-23","2"
"2020-10-21","1"
"2020-10-20","2"
"2020-10-19","1"
"2020-10-18","1"
"2020-10-13","2"
"2020-10-12","1"
"2020-10-09","2"
"2020-10-08","1"
"2020-09-19","1"
"2020-09-14","2"
"2020-09-07","1"
"2020-09-01","1"
"2020-08-26","1"
"2020-08-15","1"
"2020-08-12","1"
"2020-08-10","1"
"2020-08-05","1"
"2020-07-28","2"
"2020-07-27","1"
"2020-07-25","1"
"2020-07-23","1"
"2020-07-15","1"
"2020-07-14","1"
"2020-07-10","1"
"2020-07-06","1"
"2020-07-03","1"
"2020-06-22","2"
"2020-06-08","1"
"2020-06-05","2"
"2020-05-29","1"
"2020-05-21","2"
"2020-05-19","1"
"2020-05-11","1"
"2020-05-02","1"
"2020-04-23","1"
"2020-04-03","1"
"2019-11-22","2"
"2019-08-15","1"
"2019-07-26","1"
"2019-05-30","1"
"2019-05-17","1"
"2019-04-23","1"
"2019-04-20","1"
"2018-08-14","1"
"2017-10-30","1"
"2017-10-25","20"
"2017-10-24","4"
"2017-10-23","8"
