"Date","Products"
"2022-02-11","14"
"2022-02-10","2"
"2022-02-09","3"
"2022-01-31","3"
"2022-01-28","16"
"2022-01-26","1"
"2022-01-25","1"
"2022-01-24","4"
"2022-01-05","13"
"2021-12-30","3"
"2021-12-22","2"
"2021-12-06","1"
"2021-11-30","2"
"2021-11-28","1"
"2021-11-24","3"
"2021-11-22","10"
"2021-11-19","24"
"2021-11-17","9"
"2021-11-08","7"
"2021-11-02","8"
"2021-10-27","4"
"2021-10-15","2"
"2021-09-30","2"
"2021-09-29","1"
"2021-09-27","10"
"2021-09-22","2"
"2021-09-16","46"
"2021-09-10","9"
"2021-09-08","3"
"2021-08-05","1"
"2021-08-03","43"
"2021-07-21","2"
"2021-07-16","4"
"2021-06-28","28"
"2021-06-24","1"
"2021-06-17","1"
"2021-06-15","1"
"2021-06-11","2"
"2021-06-08","11"
"2021-06-07","5"
"2021-06-03","4"
"2021-05-28","63"
"2021-04-27","2"
"2021-04-15","7"
"2021-03-19","2"
"2021-03-18","2"
"2021-03-17","9"
"2021-03-02","13"
"2021-02-24","2"
"2021-02-23","34"
"2021-02-12","8"
"2021-02-11","1"
"2021-02-08","43"
"2021-01-28","6"
"2021-01-27","12"
"2021-01-20","7"
