"Date","Products"
"2022-02-16","20"
"2022-02-11","15"
"2022-02-08","27"
"2022-02-07","35"
"2022-02-03","3"
"2022-02-02","5"
"2022-02-01","118"
"2022-01-28","3"
"2022-01-21","96"
"2022-01-17","33"
"2022-01-11","42"
"2022-01-07","1"
"2022-01-06","1"
"2022-01-04","13"
"2022-01-03","5"
"2021-12-29","75"
"2021-12-21","2"
"2021-12-17","31"
"2021-12-13","36"
"2021-12-11","8"
"2021-12-07","2"
"2021-12-03","42"
"2021-12-01","55"
"2021-11-26","4"
"2021-11-25","1"
"2021-11-24","21"
"2021-11-23","12"
"2021-11-21","3"
"2021-11-18","35"
"2021-11-15","1"
"2021-11-11","57"
"2021-11-10","10"
"2021-10-29","33"
"2021-10-27","33"
"2021-10-26","1"
"2021-10-25","3"
"2021-10-21","3"
"2021-10-19","86"
"2021-10-14","9"
"2021-10-13","7"
"2021-10-08","40"
"2021-10-01","2"
"2021-09-27","54"
"2021-09-21","10"
"2021-09-17","72"
"2021-09-13","40"
"2021-09-09","1"
"2021-09-07","47"
"2021-09-03","2"
"2021-09-01","38"
"2021-08-27","27"
"2021-08-23","17"
"2021-08-16","10"
"2021-08-10","2"
"2021-08-06","54"
"2021-08-02","6"
"2021-07-27","4"
"2021-07-26","10"
"2021-07-21","27"
"2021-07-19","16"
"2021-07-14","8"
"2021-07-13","21"
"2021-07-08","1"
"2021-07-06","8"
"2021-06-29","2"
"2021-06-25","18"
"2021-06-23","5"
"2021-06-21","28"
"2021-06-20","25"
"2021-06-16","39"
"2021-06-14","1"
"2021-06-11","12"
"2021-06-08","15"
"2021-06-03","6"
"2021-06-01","1"
"2021-05-20","4"
"2021-05-11","3"
"2021-05-04","21"
"2021-04-27","14"
"2021-04-21","14"
"2021-04-16","8"
"2021-04-13","21"
"2021-04-07","11"
"2021-03-26","22"
"2021-03-15","18"
"2021-03-02","8"
"2021-02-25","6"
"2021-02-22","5"
"2021-02-19","2"
"2021-02-09","3"
"2021-02-02","24"
"2021-01-24","4"
"2021-01-19","20"
"2021-01-11","16"
"2021-01-06","43"
"2020-12-15","19"
"2020-12-08","5"
"2020-12-03","13"
"2020-12-01","1"
"2020-11-19","59"
"2020-11-09","1"
"2020-10-30","6"
"2020-10-29","99"
"2020-10-26","1"
"2020-10-23","15"
"2020-10-21","13"
"2020-10-15","55"
"2020-09-29","12"
"2020-09-17","36"
"2020-09-11","3"
"2020-08-24","8"
"2020-08-19","45"
"2020-08-07","1"
"2020-06-12","14"
"2020-04-30","12"
"2020-03-23","5"
"2020-03-11","9"
"2019-12-10","1"
