"Date","Products"
"2022-02-18","22"
"2022-02-17","4"
"2022-02-16","8"
"2022-02-15","19"
"2022-02-14","3"
"2022-02-11","18"
"2022-02-09","1"
"2022-02-08","13"
"2022-02-07","2"
"2022-02-04","4"
"2022-02-03","19"
"2022-02-02","22"
"2022-02-01","38"
"2022-01-31","1"
"2022-01-28","3"
"2022-01-27","54"
"2022-01-26","2"
"2022-01-25","3"
"2022-01-21","12"
"2022-01-20","40"
"2022-01-19","37"
"2022-01-18","7"
"2022-01-16","1"
"2022-01-14","10"
"2022-01-13","1"
"2022-01-12","3"
"2022-01-07","14"
"2022-01-06","8"
"2022-01-05","1"
"2022-01-04","20"
"2022-01-03","1"
"2021-12-21","14"
"2021-12-20","40"
"2021-12-17","16"
"2021-12-16","2"
"2021-12-15","17"
"2021-12-08","12"
"2021-12-07","4"
"2021-12-03","5"
"2021-12-02","9"
"2021-12-01","9"
"2021-11-30","54"
"2021-11-29","28"
"2021-11-28","20"
"2021-11-24","1"
"2021-11-23","1"
"2021-11-19","7"
"2021-11-18","9"
"2021-11-17","13"
"2021-11-16","10"
"2021-11-15","12"
"2021-11-12","3"
"2021-11-11","1"
"2021-11-10","60"
"2021-11-09","20"
"2021-11-08","7"
"2021-11-05","3"
"2021-11-04","12"
"2021-11-03","2"
"2021-11-02","9"
"2021-10-29","19"
"2021-10-28","11"
"2021-10-26","1"
"2021-10-21","2"
"2021-10-20","1"
"2021-10-19","18"
"2021-10-18","19"
"2021-10-15","27"
"2021-10-13","2"
"2021-10-12","13"
"2021-10-07","13"
"2021-10-05","1"
"2021-10-04","17"
"2021-09-30","21"
"2021-09-29","16"
"2021-09-28","1"
"2021-09-26","5"
"2021-09-24","7"
"2021-09-23","10"
"2021-09-21","21"
"2021-09-17","14"
"2021-09-16","10"
"2021-09-15","10"
"2021-09-13","24"
"2021-09-09","8"
"2021-09-08","7"
"2021-09-07","1"
"2021-09-06","1"
"2021-09-01","7"
"2021-08-31","35"
"2021-08-29","1"
"2021-08-25","28"
"2021-08-24","7"
"2021-08-23","1"
"2021-08-19","6"
"2021-08-18","11"
"2021-08-17","9"
"2021-08-12","9"
"2021-08-10","4"
"2021-08-06","3"
"2021-08-04","4"
"2021-08-03","8"
"2021-08-02","6"
"2021-07-30","14"
"2021-07-29","3"
"2021-07-28","14"
"2021-07-27","6"
"2021-07-23","2"
"2021-07-22","6"
"2021-07-21","12"
"2021-07-20","14"
"2021-07-19","6"
"2021-07-15","10"
"2021-07-14","16"
"2021-07-13","15"
"2021-07-12","2"
"2021-07-08","31"
"2021-07-07","13"
"2021-07-06","5"
"2021-07-01","11"
"2021-06-29","22"
"2021-06-28","19"
"2021-06-24","2"
"2021-06-23","5"
"2021-06-22","17"
"2021-06-20","4"
"2021-06-17","13"
"2021-06-16","15"
"2021-06-15","12"
"2021-06-14","1"
"2021-06-11","1"
"2021-06-10","11"
"2021-06-09","8"
"2021-06-08","22"
"2021-06-07","19"
"2021-06-04","1"
"2021-06-03","30"
"2021-06-02","3"
"2021-06-01","13"
"2021-05-31","1"
"2021-05-27","10"
"2021-05-26","11"
"2021-05-25","9"
"2021-05-24","3"
"2021-05-21","7"
"2021-05-19","3"
"2021-05-18","2"
"2021-05-14","9"
"2021-05-13","7"
"2021-05-12","4"
"2021-05-11","6"
"2021-05-10","15"
"2021-05-07","1"
"2021-05-06","3"
"2021-05-05","5"
"2021-05-03","3"
"2021-04-30","4"
"2021-04-29","13"
"2021-04-28","5"
"2021-04-27","18"
"2021-04-26","8"
"2021-04-23","15"
"2021-04-22","3"
"2021-04-21","8"
"2021-04-19","3"
"2021-04-16","7"
"2021-04-15","1"
"2021-04-14","6"
"2021-04-09","13"
"2021-04-08","2"
"2021-04-07","12"
"2021-04-05","13"
"2021-04-02","8"
"2021-04-01","20"
"2021-03-31","2"
"2021-03-30","3"
"2021-03-26","7"
"2021-03-25","2"
"2021-03-24","29"
"2021-03-23","1"
"2021-03-22","6"
"2021-03-19","7"
"2021-03-18","5"
"2021-03-15","2"
"2021-03-13","1"
"2021-03-12","13"
"2021-03-11","5"
"2021-03-10","5"
"2021-03-09","8"
"2021-03-08","1"
"2021-03-05","9"
"2021-03-03","32"
"2021-03-02","1"
"2021-03-01","3"
"2021-02-26","13"
"2021-02-25","8"
"2021-02-24","12"
"2021-02-23","3"
"2021-02-22","32"
"2021-02-19","4"
"2021-02-18","7"
"2021-02-12","3"
"2021-02-11","2"
"2021-02-10","6"
"2021-02-09","2"
"2021-02-08","7"
"2021-02-05","2"
"2021-02-04","4"
"2021-02-03","3"
"2021-02-02","3"
"2021-02-01","3"
"2021-01-29","13"
"2021-01-28","4"
"2021-01-27","3"
"2021-01-26","1"
"2021-01-25","2"
"2021-01-22","1"
"2021-01-20","1"
"2021-01-19","1"
"2021-01-15","2"
"2021-01-14","2"
"2021-01-13","2"
"2021-01-12","1"
"2021-01-11","3"
"2021-01-07","2"
"2021-01-05","1"
"2020-12-30","3"
"2020-12-29","19"
"2020-12-26","4"
"2020-12-23","8"
"2020-12-22","7"
"2020-12-21","1"
"2020-12-17","1"
"2020-12-16","3"
"2020-12-15","2"
"2020-12-14","1"
"2020-12-11","3"
"2020-12-10","1"
"2020-12-09","1"
"2020-12-08","1"
"2020-12-07","1"
"2020-12-03","2"
"2020-12-02","2"
"2020-12-01","1"
"2020-11-30","1"
"2020-11-27","1"
"2020-11-25","2"
"2020-11-24","5"
"2020-11-20","4"
"2020-11-18","4"
"2020-11-17","3"
"2020-11-13","2"
"2020-11-12","2"
"2020-11-11","1"
"2020-11-10","1"
"2020-11-09","1"
"2020-11-06","2"
"2020-11-02","1"
"2020-10-27","2"
"2020-10-26","1"
"2020-10-23","2"
"2020-10-21","2"
"2020-10-19","1"
"2020-10-15","1"
"2020-10-08","1"
"2020-10-06","4"
"2020-10-02","6"
"2020-09-29","1"
"2020-09-28","2"
"2020-09-25","1"
"2020-09-24","5"
"2020-09-21","1"
"2020-09-18","1"
"2020-09-17","5"
"2020-09-16","2"
"2020-09-14","3"
"2020-09-10","1"
"2020-09-09","2"
"2020-09-04","1"
"2020-09-01","1"
"2020-08-28","2"
"2020-08-26","1"
"2020-08-25","2"
"2020-08-24","2"
"2020-08-20","1"
"2020-08-13","1"
"2020-08-12","1"
"2020-08-10","1"
"2020-08-07","3"
"2020-08-06","1"
"2020-08-03","1"
"2020-07-22","1"
"2020-07-21","1"
"2020-07-17","1"
"2020-07-15","1"
"2020-07-13","1"
"2020-07-09","6"
"2020-07-06","1"
"2020-07-04","1"
"2020-07-03","1"
"2020-07-02","1"
"2020-07-01","3"
"2020-06-19","1"
"2020-06-17","1"
"2020-06-16","1"
"2020-06-09","2"
"2020-06-08","1"
"2020-06-02","1"
"2020-05-21","2"
"2020-05-12","1"
"2020-05-05","1"
"2020-05-04","3"
"2020-05-01","1"
"2020-04-30","2"
"2020-04-29","3"
"2020-04-24","3"
"2020-04-14","1"
"2020-04-01","1"
"2020-03-05","1"
"2020-01-29","4"
"2019-12-17","1"
"2019-12-11","1"
"2019-03-05","1"
"2018-11-05","1"
