"Date","Products"
"2022-01-28","1"
"2022-01-11","1"
"2022-01-06","1"
"2021-12-29","2"
"2021-12-28","1"
"2021-12-22","1"
"2021-12-14","1"
"2021-11-24","1"
"2021-11-16","2"
"2021-11-15","14"
"2021-11-11","4"
"2021-11-10","8"
"2021-11-09","1"
"2021-11-01","1"
"2021-10-26","1"
"2021-10-05","1"
"2021-09-27","1"
"2021-09-24","1"
"2021-09-20","1"
"2021-09-15","1"
"2021-08-25","1"
"2021-07-29","1"
"2021-07-20","1"
"2021-06-28","1"
"2021-06-21","1"
"2021-06-16","1"
"2021-06-14","1"
"2021-06-02","1"
"2021-05-04","1"
"2021-05-03","1"
"2021-04-23","1"
"2021-03-25","1"
"2021-03-12","1"
"2021-03-05","1"
"2021-02-24","2"
"2021-02-22","1"
"2021-02-02","1"
"2021-01-28","1"
"2021-01-21","1"
"2021-01-20","1"
"2021-01-11","1"
"2020-12-15","1"
"2020-12-02","2"
"2020-11-30","1"
"2020-11-23","11"
"2020-11-18","1"
"2020-11-07","1"
"2020-11-05","1"
"2020-10-28","1"
"2020-10-21","2"
"2020-10-07","2"
"2020-09-29","2"
"2020-09-23","1"
"2020-09-02","1"
"2020-08-31","1"
"2020-08-21","1"
"2020-08-17","3"
"2020-08-13","1"
"2020-08-12","1"
"2020-08-06","1"
"2020-08-04","1"
"2020-07-28","1"
"2020-06-17","1"
"2020-05-29","3"
"2020-05-26","1"
"2020-05-08","4"
"2020-05-01","1"
"2020-04-14","13"
"2020-04-01","2"
"2020-03-31","313"
"2020-02-06","3"
"2020-02-05","1"
"2020-01-29","1"
"2020-01-24","1"
"2020-01-10","1"
"2020-01-08","1"
"2019-12-13","6"
"2019-12-04","1"
"2019-11-27","1"
"2019-11-25","1"
"2019-11-19","1"
"2019-11-05","1"
"2019-10-25","1"
"2019-10-15","5"
"2019-10-11","3"
"2019-09-19","1"
"2019-09-16","1"
"2019-09-04","1"
"2019-07-29","1"
"2019-06-28","1"
"2019-06-20","1"
"2019-06-19","1"
"2019-06-10","4"
"2019-06-05","5"
"2019-05-23","1"
"2019-05-16","1"
"2019-05-02","1"
"2019-04-24","1"
"2019-04-12","1"
"2019-03-15","4"
"2019-03-14","1"
"2019-02-11","1"
"2019-02-01","1"
"2019-01-10","1"
"2019-01-04","1"
"2018-12-21","1"
"2018-11-26","2"
"2018-11-24","1"
"2018-11-21","3"
"2018-11-16","1"
"2018-11-13","1"
"2018-11-09","1"
"2018-11-01","1"
"2018-10-24","1"
"2018-09-06","1"
"2018-07-19","3"
"2018-06-29","2"
"2018-06-08","1"
"2018-06-01","2"
"2018-05-30","1"
"2018-05-04","1"
"2018-05-02","2"
"2018-04-27","1"
"2018-04-24","3"
"2017-12-12","1"
"2017-11-22","1"
"2017-11-21","3"
"2017-10-25","1"
"2017-10-03","1"
"2017-09-26","1"
"2017-09-21","1"
"2017-08-25","1"
"2017-07-13","1"
"2017-05-24","8"
"2017-05-17","8"
"2017-05-09","3"
