"Date","Products"
"2022-02-17","1"
"2022-02-14","1"
"2022-02-08","1"
"2022-02-07","1"
"2022-02-02","1"
"2022-01-21","2"
"2022-01-20","1"
"2022-01-07","1"
"2022-01-04","1"
"2022-01-01","1"
"2021-12-09","1"
"2021-11-02","1"
"2021-10-29","1"
"2021-09-29","1"
"2021-09-24","2"
"2021-09-14","2"
"2021-09-10","1"
"2021-09-01","1"
"2021-08-31","1"
"2021-08-17","1"
"2021-08-05","1"
"2021-07-20","1"
"2021-06-04","1"
"2021-05-10","1"
"2021-04-26","2"
"2021-04-20","1"
"2021-04-19","1"
"2021-03-25","1"
"2021-03-08","4"
"2021-03-05","4"
"2021-03-02","1"
"2021-02-13","1"
"2021-01-28","1"
"2021-01-19","1"
"2021-01-05","1"
"2020-12-09","1"
"2020-11-10","1"
"2020-10-18","1"
"2020-09-08","1"
"2020-09-01","1"
"2020-08-24","1"
"2020-07-21","1"
"2020-06-23","1"
"2020-06-22","1"
"2020-05-19","1"
"2020-05-13","1"
"2020-04-06","1"
"2020-03-17","1"
"2020-03-03","1"
"2020-02-27","1"
"2020-01-28","1"
"2020-01-06","1"
"2019-12-03","1"
"2019-11-06","1"
"2019-11-05","1"
"2019-09-19","1"
"2019-07-31","1"
"2019-07-25","1"
"2019-03-11","1"
"2019-01-15","1"
"2018-12-05","1"
"2018-08-21","2"
"2018-08-20","1"
"2018-07-31","2"
"2018-05-04","1"
"2018-04-24","1"
"2018-03-19","1"
"2018-02-22","1"
"2017-11-29","7"
"2017-08-29","1"
"2017-07-20","1"
"2017-05-10","1"
"2017-04-12","1"
"2017-03-29","1"
"2017-03-14","2"
"2016-12-23","1"
"2016-10-31","1"
"2016-09-15","1"
"2016-04-13","1"
"2015-08-31","1"
"2014-08-20","1"
"2014-08-06","2"
