"Date","Products"
"2022-02-16","1"
"2022-02-11","2"
"2022-02-02","1"
"2022-02-01","1"
"2022-01-26","5"
"2022-01-24","1"
"2022-01-19","4"
"2022-01-12","6"
"2022-01-07","5"
"2022-01-06","1"
"2022-01-05","2"
"2021-12-08","1"
"2021-12-01","1"
"2021-11-30","3"
"2021-11-24","2"
"2021-11-22","1"
"2021-11-12","1"
"2021-11-10","3"
"2021-11-05","2"
"2021-11-03","3"
"2021-10-29","8"
"2021-10-27","2"
"2021-10-20","3"
"2021-10-15","4"
"2021-10-13","4"
"2021-10-08","4"
"2021-10-06","4"
"2021-10-01","8"
"2021-09-29","5"
"2021-09-22","3"
"2021-09-15","2"
"2021-09-09","1"
"2021-09-03","10"
"2021-09-01","2"
"2021-08-25","3"
"2021-08-18","1"
"2021-08-11","6"
"2021-08-04","2"
"2021-08-03","1"
"2021-07-28","4"
"2021-07-21","1"
"2021-07-16","2"
"2021-07-07","11"
"2021-06-30","2"
"2021-06-25","14"
"2021-06-23","2"
"2021-06-16","12"
"2021-06-09","15"
"2021-06-02","1"
"2021-06-01","11"
"2021-05-26","1"
"2021-05-18","13"
"2021-05-14","1"
"2021-05-06","1"
"2021-04-14","2"
"2021-04-07","5"
"2021-03-31","10"
"2021-03-18","3"
"2021-03-10","2"
"2021-03-03","8"
"2021-02-25","1"
"2021-02-17","3"
"2021-02-12","1"
"2021-01-27","1"
"2021-01-20","1"
"2021-01-18","2"
"2021-01-13","4"
"2021-01-06","1"
"2020-12-16","7"
"2020-12-15","4"
"2020-12-09","1"
"2020-11-25","1"
"2020-11-24","12"
"2020-11-18","1"
"2020-11-11","4"
"2020-11-09","1"
"2020-11-04","4"
"2020-10-30","2"
"2020-10-28","3"
"2020-10-21","2"
"2020-10-16","1"
"2020-10-14","8"
"2020-10-12","3"
"2020-10-09","3"
"2020-10-07","7"
"2020-09-30","3"
"2020-09-29","1"
"2020-09-24","6"
"2020-09-23","7"
"2020-09-17","7"
"2020-09-16","2"
"2020-09-09","2"
"2020-09-02","4"
"2020-08-28","6"
"2020-08-26","4"
"2020-08-25","4"
"2020-08-19","3"
"2020-08-12","1"
"2020-08-11","3"
"2020-07-29","8"
"2020-07-22","4"
"2020-07-08","1"
"2020-06-24","1"
"2020-06-22","59"
"2020-06-11","1"
"2020-06-03","1"
"2020-05-07","2"
"2020-04-29","1"
"2020-04-16","1"
"2020-04-07","13"
"2020-04-03","6"
"2020-04-02","1"
"2020-04-01","1"
"2020-03-31","3"
"2020-03-30","6"
"2020-03-25","23"
"2020-03-14","1"
"2020-03-13","3"
"2020-03-09","1"
"2020-02-26","3"
"2020-01-27","1"
"2020-01-15","2"
"2020-01-10","1"
"2020-01-09","1"
"2020-01-08","3"
"2019-12-23","1"
"2019-12-16","2"
"2019-12-11","1"
"2019-11-30","1"
"2019-11-27","4"
"2019-11-25","9"
"2019-11-22","7"
"2019-11-20","1"
"2019-11-13","4"
"2019-11-06","5"
"2019-10-28","1"
"2019-10-23","8"
"2019-10-16","4"
"2019-10-11","1"
"2019-10-09","1"
"2019-10-02","1"
"2019-09-25","1"
"2019-09-24","3"
"2019-09-23","1"
"2019-09-18","2"
"2019-09-11","7"
"2019-09-07","1"
"2019-09-04","1"
"2019-08-28","5"
"2019-08-21","2"
"2019-08-08","13"
"2019-07-03","2"
"2019-06-28","2"
"2019-05-31","2"
"2019-05-23","1"
"2019-05-09","1"
"2019-04-23","27"
"2019-04-17","5"
"2019-01-16","1"
"2019-01-14","2"
"2018-11-28","2"
"2018-11-15","4"
"2018-11-11","2"
"2018-11-08","10"
"2018-11-07","5"
"2018-10-29","1"
"2018-10-24","2"
"2018-10-17","1"
"2018-10-11","1"
"2018-10-03","2"
"2018-09-13","1"
"2018-09-12","4"
"2018-09-06","3"
"2018-05-23","9"
"2018-04-05","1"
"2018-03-08","1"
"2018-02-01","1"
"2017-11-23","1"
"2017-11-15","1"
"2017-11-02","1"
"2017-10-31","3"
"2017-10-11","4"
"2017-09-14","1"
"2017-09-11","1"
"2017-07-27","2"
"2017-07-21","3"
"2017-07-12","1"
"2016-12-30","3"
"2016-10-25","1"
"2016-10-20","1"
"2016-08-11","1"
"2015-12-09","2"
"2015-12-07","2"
"2015-11-05","1"
"2015-10-08","3"
"2015-10-06","7"
"2015-10-01","1"
"2015-09-28","1"
"2015-09-27","2"
"2014-12-09","1"
