"Date","Products"
"2022-02-18","30"
"2022-02-17","60"
"2022-02-16","79"
"2022-02-15","44"
"2022-02-14","145"
"2022-02-11","4"
"2022-02-10","42"
"2022-02-09","40"
"2022-02-08","74"
"2022-02-07","16"
"2022-02-04","60"
"2022-02-03","94"
"2022-02-02","74"
"2022-01-31","44"
"2022-01-28","180"
"2022-01-27","4"
"2022-01-26","230"
"2022-01-25","8"
"2022-01-24","92"
"2022-01-21","189"
"2022-01-20","154"
"2022-01-19","14"
"2022-01-18","56"
"2022-01-17","94"
"2022-01-14","114"
"2022-01-13","80"
"2022-01-12","82"
"2022-01-11","68"
"2022-01-10","76"
"2022-01-07","80"
"2022-01-06","94"
"2022-01-05","66"
"2022-01-04","34"
"2021-12-31","26"
"2021-12-30","4"
"2021-12-29","2"
"2021-12-28","30"
"2021-12-24","34"
"2021-12-23","62"
"2021-12-22","72"
"2021-12-21","70"
"2021-12-20","58"
"2021-12-17","28"
"2021-12-16","80"
"2021-12-15","32"
"2021-12-14","100"
"2021-12-13","108"
"2021-12-10","42"
"2021-12-09","128"
"2021-12-08","122"
"2021-12-02","2"
"2021-12-01","32"
"2021-11-30","44"
"2021-11-25","102"
"2021-11-24","8"
"2021-11-23","148"
"2021-11-22","8"
"2021-11-19","138"
"2021-11-18","68"
"2021-11-17","18"
"2021-11-16","208"
"2021-11-15","22"
"2021-11-13","12"
"2021-11-12","166"
"2021-11-11","50"
"2021-11-10","23"
"2021-11-09","172"
"2021-11-08","2"
"2021-11-05","84"
"2021-11-04","174"
"2021-11-03","178"
"2021-11-01","4"
"2021-10-28","6"
"2021-10-27","2"
"2021-10-26","2"
"2021-10-25","2"
"2021-10-19","8"
"2021-10-18","2"
"2021-10-15","4"
"2021-10-13","2"
"2021-10-06","1"
"2021-10-04","2"
"2021-10-01","6"
"2021-09-20","2"
"2021-09-17","2"
"2021-09-16","10"
"2021-09-14","4"
"2021-09-10","2"
"2021-09-07","12"
"2021-09-03","10"
"2021-09-02","6"
"2021-08-30","4"
"2021-08-18","16"
"2021-08-17","6"
"2021-08-16","12"
"2021-08-11","2"
"2021-08-10","6"
"2021-08-09","2"
"2021-08-06","2"
"2021-08-05","10"
"2021-08-04","2"
"2021-08-02","4"
"2021-07-30","2"
"2021-07-27","12"
"2021-07-22","4"
"2021-07-16","1"
"2021-07-15","4"
"2021-07-13","2"
"2021-07-12","6"
"2021-07-09","4"
"2021-07-08","2"
"2021-07-02","6"
"2021-06-30","6"
"2021-06-29","4"
"2021-06-28","18"
"2021-06-22","6"
"2021-06-17","2"
"2021-06-11","6"
"2021-06-09","4"
"2021-06-07","22"
"2021-05-27","2"
"2021-05-26","2"
"2021-04-22","1"
"2021-04-15","10"
"2021-03-02","3"
"2021-02-26","1"
"2021-02-17","13"
"2021-02-16","25"
"2021-01-21","1"
"2021-01-11","1"
"2020-12-24","12"
"2020-12-21","1"
"2020-12-17","1"
"2020-12-16","1"
"2020-12-08","1"
"2020-11-27","1"
"2020-11-23","16"
"2020-11-20","2"
"2020-11-19","1"
"2020-11-17","18"
"2020-11-13","4"
"2020-11-12","6"
"2020-11-10","1"
"2020-11-05","15"
"2020-11-04","18"
"2020-11-03","11"
"2020-11-02","5"
