"Date","Products"
"2022-02-18","9"
"2022-02-16","20"
"2022-02-11","4"
"2022-02-07","69"
"2022-02-06","63"
"2022-02-03","79"
"2022-01-30","1"
"2021-12-17","14"
"2021-12-16","3"
"2021-12-10","2"
"2021-12-07","1"
"2021-12-03","3"
"2021-11-28","5"
"2021-11-22","6"
"2021-11-19","1"
"2021-11-15","2"
"2021-11-12","6"
"2021-11-11","7"
"2021-11-06","3"
"2021-11-03","1"
"2021-10-28","2"
"2021-10-24","3"
"2021-10-14","2"
"2021-10-12","1"
"2021-10-11","5"
"2021-10-10","29"
"2021-09-27","5"
"2021-09-24","3"
"2021-09-22","6"
"2021-09-20","2"
"2021-09-17","5"
"2021-09-16","3"
"2021-09-13","1"
"2021-09-11","4"
"2021-09-10","6"
"2021-09-08","11"
"2021-09-07","4"
"2021-09-03","9"
"2021-09-02","4"
"2021-09-01","2"
"2021-08-30","63"
"2021-08-13","8"
"2021-08-11","1"
"2021-08-09","12"
"2021-08-06","17"
"2021-08-04","6"
"2021-08-02","2"
"2021-07-27","5"
"2021-07-26","91"
"2021-07-23","3"
"2021-07-21","3"
"2021-07-19","1"
"2021-07-17","1"
"2021-07-16","1"
"2021-07-08","1"
"2021-06-18","3"
"2021-06-04","3"
"2021-03-17","1"
"2021-01-30","1"
"2021-01-26","62"
"2021-01-25","308"
"2021-01-18","3"
"2021-01-12","166"
"2021-01-11","8"
"2021-01-07","2"
"2020-12-28","1"
"2020-12-22","1"
"2020-12-17","2"
"2020-12-11","2"
"2020-12-07","3"
"2020-11-25","2"
"2020-11-24","2"
"2020-11-17","2"
"2020-11-03","2"
"2020-10-29","1"
"2020-10-27","6"
"2020-10-23","2"
"2020-10-22","39"
"2020-10-15","2"
"2020-10-09","29"
"2020-10-05","676"
"2020-10-02","14"
"2020-09-29","2"
"2020-09-28","2"
"2020-09-22","2"
"2020-09-18","2"
"2020-09-17","4"
"2020-09-11","13"
"2020-09-04","1"
"2020-09-02","1"
"2020-08-31","2"
"2020-08-20","2"
"2020-08-19","5"
"2020-08-17","141"
"2020-08-07","1"
"2020-07-30","6"
"2020-07-29","2"
"2020-07-28","1"
"2020-07-27","1"
"2020-07-17","1"
"2020-07-07","1"
"2020-06-23","2"
"2020-05-27","2"
"2020-04-27","1"
"2020-04-06","1"
"2020-04-02","2"
"2020-03-27","6"
"2020-03-25","5"
"2020-03-20","1"
"2020-03-19","1"
"2020-02-21","2"
"2020-02-18","2"
"2020-02-04","1"
"2020-01-28","26"
"2020-01-24","14"
