"Date","Products"
"2022-02-18","2"
"2022-02-17","8"
"2022-02-16","33"
"2022-02-15","52"
"2022-02-14","22"
"2022-02-11","2"
"2022-02-10","2"
"2022-02-03","2"
"2022-02-02","18"
"2022-01-30","15"
"2022-01-27","10"
"2022-01-25","2"
"2022-01-21","5"
"2022-01-20","3"
"2022-01-14","5"
"2022-01-13","4"
"2022-01-06","1"
"2022-01-05","2"
"2022-01-04","2"
"2022-01-03","6"
"2021-12-22","9"
"2021-12-21","3"
"2021-12-20","1"
"2021-12-17","2"
"2021-12-16","7"
"2021-12-14","12"
"2021-12-13","2"
"2021-12-10","6"
"2021-12-09","7"
"2021-12-08","2"
"2021-12-06","2"
"2021-12-03","15"
"2021-12-01","3"
"2021-11-30","2"
"2021-11-25","3"
"2021-11-22","1"
"2021-11-21","4"
"2021-11-17","20"
"2021-11-12","1"
"2021-11-11","1"
"2021-11-08","1"
"2021-11-04","1"
"2021-11-02","1"
"2021-10-31","28"
"2021-10-27","11"
"2021-10-24","4"
"2021-10-17","3"
"2021-10-13","7"
"2021-10-12","1"
"2021-10-10","6"
"2021-10-04","7"
"2021-09-27","9"
"2021-09-23","4"
"2021-09-22","1"
"2021-09-21","6"
"2021-09-17","1"
"2021-09-10","3"
"2021-09-09","7"
"2021-09-07","2"
"2020-12-17","1"
"2020-12-15","1"
"2019-10-31","217"
