"Date","Products"
"2022-02-19","17"
"2022-02-18","11"
"2022-02-17","7"
"2022-02-16","11"
"2022-02-15","6"
"2022-02-14","6"
"2022-02-11","12"
"2022-02-10","5"
"2022-02-09","3"
"2022-02-08","22"
"2022-02-07","62"
"2022-02-05","2"
"2022-02-03","7"
"2022-02-02","1"
"2022-02-01","1"
"2022-01-31","10"
"2022-01-29","1"
"2022-01-27","1"
"2022-01-26","14"
"2022-01-25","12"
"2022-01-24","57"
"2022-01-21","1"
"2022-01-19","2"
"2022-01-18","1"
"2022-01-14","14"
"2022-01-13","8"
"2022-01-11","33"
"2022-01-10","40"
"2022-01-06","1"
"2022-01-05","10"
"2022-01-04","4"
"2022-01-03","41"
"2021-12-30","2"
"2021-12-29","3"
"2021-12-28","1"
"2021-12-27","20"
"2021-12-22","1"
"2021-12-21","81"
"2021-12-20","9"
"2021-12-16","1"
"2021-12-15","5"
"2021-12-14","9"
"2021-12-13","30"
"2021-12-11","1"
"2021-12-09","6"
"2021-12-08","5"
"2021-12-07","36"
"2021-12-06","57"
"2021-12-02","5"
"2021-12-01","31"
"2021-11-30","1"
"2021-11-29","1"
"2021-11-28","4"
"2021-11-27","15"
"2021-11-26","12"
"2021-11-25","31"
"2021-11-24","252"
"2021-11-23","16"
"2021-11-22","52"
"2021-11-19","19"
"2021-11-18","1"
"2021-11-17","10"
"2021-11-16","6"
"2021-11-15","21"
"2021-11-12","2"
"2021-11-08","26"
"2021-11-04","1"
"2021-11-03","14"
"2021-11-02","2"
"2021-11-01","19"
"2021-10-28","10"
"2021-10-27","4"
"2021-10-26","12"
"2021-10-25","6"
"2021-10-22","5"
"2021-10-20","10"
"2021-10-19","3"
"2021-10-18","38"
"2021-10-14","12"
"2021-10-13","13"
"2021-10-11","1"
"2021-10-07","28"
"2021-10-06","21"
"2021-10-05","5"
"2021-10-04","22"
"2021-09-29","2"
"2021-09-28","2"
"2021-09-27","1"
"2021-09-24","14"
"2021-09-23","6"
"2021-09-22","14"
"2021-09-21","8"
"2021-09-20","15"
"2021-09-17","1"
"2021-09-16","3"
"2021-09-15","5"
"2021-09-13","5"
"2021-09-10","8"
"2021-09-09","3"
"2021-09-08","3"
"2021-09-06","2"
"2021-09-03","1"
"2021-09-02","1"
"2021-09-01","9"
"2021-08-31","1"
"2021-08-30","51"
"2021-08-26","10"
"2021-08-25","1"
"2021-08-24","1"
"2021-08-23","11"
"2021-08-19","6"
"2021-08-18","3"
"2021-08-17","1"
"2021-08-16","30"
"2021-08-13","2"
"2021-08-12","5"
"2021-08-11","1"
"2021-08-10","1"
"2021-08-09","3"
"2021-08-06","3"
"2021-08-05","2"
"2021-08-04","5"
"2021-08-03","6"
"2021-08-02","28"
"2021-07-30","1"
"2021-07-29","1"
"2021-07-28","14"
"2021-07-23","1"
"2021-07-22","4"
"2021-07-20","1"
"2021-07-19","19"
"2021-07-15","1"
"2021-07-13","1"
"2021-07-08","2"
"2021-07-07","7"
"2021-07-06","1"
"2021-07-05","47"
"2021-07-02","1"
"2021-06-30","6"
"2021-06-29","6"
"2021-06-28","6"
"2021-06-25","5"
"2021-06-24","15"
"2021-06-21","1"
"2021-06-17","4"
"2021-06-16","1"
"2021-06-14","3"
"2021-06-08","1"
"2021-06-07","4"
"2021-06-02","15"
"2021-06-01","1"
"2021-05-30","1"
"2021-05-28","1"
"2021-05-24","2"
"2021-05-21","13"
"2021-05-19","17"
"2021-05-17","8"
"2021-05-13","4"
"2021-05-10","2"
"2021-05-05","3"
"2021-05-03","9"
"2021-04-29","4"
"2021-04-28","9"
"2021-04-26","2"
"2021-04-22","10"
"2021-04-21","1"
"2021-04-20","2"
"2021-04-19","15"
"2021-04-16","2"
"2021-04-15","1"
"2021-04-14","19"
"2021-04-13","2"
"2021-04-12","7"
"2021-04-07","1"
"2021-04-05","32"
"2021-03-29","1"
"2021-03-24","5"
"2021-03-22","7"
"2021-03-19","2"
"2021-03-15","4"
"2021-03-08","8"
"2021-03-03","4"
"2021-03-01","9"
"2021-02-24","4"
"2021-02-23","4"
"2021-02-22","12"
"2021-02-17","3"
"2021-02-11","12"
"2021-02-10","6"
"2021-02-04","2"
"2021-02-03","1"
"2021-01-30","1"
"2021-01-29","17"
"2021-01-22","2"
"2021-01-15","2"
"2021-01-13","2"
"2021-01-11","1"
"2021-01-07","5"
"2021-01-06","1"
"2021-01-04","13"
"2020-12-29","28"
"2020-12-28","3"
"2020-12-21","1"
"2020-12-14","19"
"2020-12-10","2"
"2020-12-09","3"
"2020-12-08","1"
"2020-12-07","5"
"2020-12-04","8"
"2020-12-03","1"
"2020-12-02","2"
"2020-12-01","4"
"2020-11-30","5"
"2020-11-29","3"
"2020-11-28","1"
"2020-11-27","8"
"2020-11-26","1"
"2020-11-25","1"
"2020-11-24","5"
"2020-11-23","10"
"2020-11-22","1"
"2020-11-20","5"
"2020-11-19","1"
"2020-11-18","2"
"2020-11-17","17"
"2020-11-16","13"
"2020-11-13","2"
"2020-11-12","2"
"2020-11-11","9"
"2020-11-10","1"
"2020-11-09","2"
"2020-11-05","3"
"2020-11-04","2"
"2020-11-03","2"
"2020-11-01","1"
"2020-10-31","10"
"2020-10-30","5"
"2020-10-26","6"
"2020-10-23","1"
"2020-10-21","5"
"2020-10-19","18"
"2020-10-14","14"
"2020-10-12","12"
"2020-10-09","3"
"2020-10-07","2"
"2020-10-05","14"
"2020-09-24","1"
"2020-09-23","4"
"2020-09-21","7"
"2020-09-18","1"
"2020-09-14","1"
"2020-09-11","3"
"2020-09-10","1"
"2020-09-09","5"
"2020-08-31","4"
"2020-08-26","1"
"2020-08-25","1"
"2020-08-21","1"
"2020-08-17","2"
"2020-08-10","3"
"2020-08-05","1"
"2020-08-04","4"
"2020-08-03","3"
"2020-07-31","1"
"2020-07-28","4"
"2020-07-27","1"
"2020-07-24","1"
"2020-07-20","2"
"2020-07-17","1"
"2020-07-14","1"
"2020-07-10","2"
"2020-07-09","2"
"2020-07-08","1"
"2020-07-06","5"
"2020-07-02","1"
"2020-07-01","4"
"2020-06-30","2"
"2020-06-29","13"
"2020-06-26","1"
"2020-06-24","2"
"2020-06-22","2"
"2020-06-18","1"
"2020-06-17","3"
"2020-06-12","1"
"2020-06-10","5"
"2020-06-09","1"
"2020-06-08","1"
"2020-06-04","4"
"2020-06-03","5"
"2020-06-02","3"
"2020-05-20","2"
"2020-05-18","8"
"2020-05-11","6"
