"Date","Products"
"2022-02-20","2"
"2022-02-19","59"
"2022-02-18","98"
"2022-02-17","215"
"2022-02-16","71"
"2022-02-15","181"
"2022-02-14","1"
"2022-02-13","24"
"2022-02-12","68"
"2022-02-11","60"
"2022-02-10","42"
"2022-02-09","86"
"2022-02-08","38"
"2022-02-07","1"
"2022-02-06","13"
"2022-02-05","7"
"2022-02-04","35"
"2022-02-03","53"
"2022-02-02","30"
"2022-02-01","39"
"2022-01-31","7"
"2022-01-29","27"
"2022-01-28","35"
"2022-01-27","30"
"2022-01-26","48"
"2022-01-25","19"
"2022-01-24","6"
"2022-01-23","16"
"2022-01-22","47"
"2022-01-21","63"
"2022-01-20","32"
"2022-01-19","27"
"2022-01-18","68"
"2022-01-17","5"
"2022-01-15","87"
"2022-01-14","17"
"2022-01-13","20"
"2022-01-12","17"
"2022-01-11","21"
"2022-01-10","1"
"2022-01-08","34"
"2022-01-07","9"
"2022-01-06","15"
"2022-01-05","35"
"2022-01-04","21"
"2022-01-01","7"
"2021-12-31","12"
"2021-12-30","38"
"2021-12-29","33"
"2021-12-28","4"
"2021-12-27","8"
"2021-12-26","5"
"2021-12-25","93"
"2021-12-24","53"
"2021-12-23","43"
"2021-12-22","73"
"2021-12-21","72"
"2021-12-19","5"
"2021-12-18","42"
"2021-12-17","67"
"2021-12-16","47"
"2021-12-15","19"
"2021-12-14","50"
"2021-12-13","22"
"2021-12-12","52"
"2021-12-11","34"
"2021-12-10","54"
"2021-12-09","51"
"2021-12-08","26"
"2021-12-07","12"
"2021-12-06","16"
"2021-12-05","25"
"2021-12-04","77"
"2021-12-03","22"
"2021-12-02","80"
"2021-12-01","123"
"2021-11-30","132"
"2021-11-29","4"
"2021-11-28","134"
"2021-11-27","89"
"2021-11-26","64"
"2021-11-25","74"
"2021-11-24","67"
"2021-11-23","32"
"2021-11-22","26"
"2021-11-21","17"
"2021-11-20","57"
"2021-11-19","31"
"2021-11-18","81"
"2021-11-17","108"
"2021-11-16","23"
"2021-11-15","19"
"2021-11-14","2"
"2021-11-13","141"
"2021-11-12","77"
"2021-11-11","127"
"2021-11-10","145"
"2021-11-09","68"
"2021-11-08","10"
"2021-11-07","1"
"2021-11-06","60"
"2021-11-05","172"
"2021-11-04","69"
"2021-11-03","190"
"2021-11-02","44"
"2021-11-01","6"
"2021-10-31","4"
"2021-10-30","125"
"2021-10-29","109"
"2021-10-28","141"
"2021-10-27","108"
"2021-10-26","88"
"2021-10-25","34"
"2021-10-24","30"
"2021-10-23","226"
"2021-10-22","4"
"2021-10-21","164"
"2021-10-19","151"
"2021-10-17","99"
"2021-10-15","114"
"2021-10-14","77"
"2021-10-13","70"
"2021-10-11","16"
"2021-10-10","31"
"2021-10-09","114"
"2021-10-08","231"
"2021-10-07","1"
"2021-10-05","145"
"2021-10-04","32"
"2021-10-03","56"
"2021-10-02","120"
"2021-10-01","113"
"2021-09-30","234"
"2021-09-29","67"
"2021-09-28","111"
"2021-09-27","29"
"2021-09-26","56"
"2021-09-25","89"
"2021-09-24","80"
"2021-09-23","182"
