"Date","Products"
"2022-02-19","1"
"2022-02-17","7"
"2022-02-14","1"
"2022-02-11","3"
"2022-02-09","1"
"2022-02-05","1"
"2022-01-31","2"
"2022-01-30","1"
"2022-01-24","6"
"2022-01-20","3"
"2022-01-19","1"
"2022-01-15","1"
"2022-01-13","1"
"2022-01-12","2"
"2022-01-06","2"
"2022-01-03","1"
"2021-12-23","1"
"2021-12-21","4"
"2021-12-20","12"
"2021-12-18","2"
"2021-12-17","1"
"2021-12-14","1"
"2021-12-13","6"
"2021-12-10","4"
"2021-12-08","1"
"2021-12-06","1"
"2021-12-02","1"
"2021-11-26","1"
"2021-11-19","2"
"2021-11-15","1"
"2021-11-11","5"
"2021-11-02","1"
"2021-10-25","1"
"2021-10-20","2"
"2021-10-19","5"
"2021-10-14","1"
"2021-10-12","6"
"2021-10-11","4"
"2021-10-04","2"
"2021-10-02","1"
"2021-09-30","2"
"2021-09-29","3"
"2021-09-27","1"
"2021-09-24","1"
"2021-09-23","1"
"2021-09-16","1"
"2021-09-13","1"
"2021-09-01","1"
"2021-08-29","3"
"2021-08-21","3"
"2021-08-20","1"
"2021-08-16","2"
"2021-08-12","3"
"2021-07-26","2"
"2021-07-21","7"
"2021-07-17","1"
"2021-07-15","1"
"2021-07-12","2"
"2021-07-09","1"
"2021-06-29","1"
"2021-06-25","1"
"2021-06-23","2"
"2021-06-16","3"
"2021-06-04","2"
"2021-06-03","6"
"2021-06-02","1"
"2021-05-20","2"
"2021-05-19","1"
"2021-04-23","1"
"2021-04-21","5"
"2021-04-20","4"
"2021-04-16","2"
"2021-04-15","1"
"2021-04-08","7"
"2021-04-07","7"
"2021-03-24","2"
"2021-03-22","1"
"2021-03-20","2"
"2021-03-17","3"
"2021-03-07","1"
"2021-03-01","3"
"2021-02-28","8"
"2021-02-21","2"
"2021-02-18","1"
"2021-02-08","1"
"2021-01-28","1"
"2021-01-27","1"
"2021-01-26","2"
"2021-01-14","1"
"2021-01-11","1"
"2020-12-17","2"
"2020-12-15","1"
"2020-12-14","4"
"2020-12-10","1"
"2020-12-09","1"
"2020-11-29","1"
"2020-11-19","1"
"2020-11-06","1"
"2020-11-03","1"
"2020-10-27","1"
"2020-10-21","1"
"2020-10-16","1"
"2020-10-15","1"
"2020-10-12","2"
"2020-10-11","2"
"2020-10-07","2"
"2020-10-02","1"
"2020-09-30","3"
"2020-09-25","1"
"2020-09-23","1"
"2020-09-21","2"
"2020-09-10","1"
"2020-09-05","1"
"2020-09-04","3"
"2020-09-03","1"
"2020-09-02","1"
"2020-08-31","2"
"2020-08-30","2"
"2020-08-27","2"
"2020-08-25","1"
"2020-08-24","1"
"2020-08-20","2"
"2020-08-14","1"
"2020-08-05","5"
"2020-07-20","1"
"2020-07-11","1"
"2020-07-09","1"
"2020-07-08","1"
"2020-07-04","1"
"2020-06-22","1"
"2020-06-19","1"
"2020-05-29","2"
"2020-05-22","2"
"2020-05-06","1"
"2020-04-27","1"
"2020-04-24","2"
"2020-04-23","2"
"2020-04-16","1"
"2020-04-14","1"
"2020-03-11","1"
"2020-03-06","1"
"2020-03-03","1"
"2020-02-27","1"
"2020-02-18","5"
"2020-02-11","3"
"2020-02-02","1"
"2020-01-17","3"
"2020-01-14","1"
"2020-01-08","2"
"2020-01-07","1"
"2019-12-30","2"
"2019-12-19","4"
"2019-12-18","2"
"2019-12-10","4"
"2019-12-03","1"
"2019-11-28","1"
"2019-11-26","1"
"2019-11-21","1"
"2019-11-19","1"
"2019-11-15","2"
"2019-10-10","1"
"2019-10-09","1"
"2019-10-02","1"
"2019-09-24","1"
"2019-09-17","4"
"2019-08-21","1"
"2019-05-03","1"
"2019-05-02","1"
"2019-04-25","1"
"2019-01-10","1"
