"Date","Products"
"2022-02-15","14"
"2022-02-14","5"
"2022-02-11","1"
"2022-02-09","8"
"2022-01-19","1"
"2022-01-14","3"
"2022-01-12","1"
"2022-01-11","2"
"2022-01-10","17"
"2021-12-08","1"
"2021-11-29","1"
"2021-11-08","6"
"2021-11-01","1"
"2021-10-27","1"
"2021-10-21","1"
"2021-10-19","4"
"2021-10-18","1"
"2021-10-04","17"
"2021-09-30","2"
"2021-09-28","4"
"2021-09-08","1"
"2021-08-24","8"
"2021-08-23","1"
"2021-08-17","1"
"2021-08-11","38"
"2021-06-29","1"
"2021-06-22","1"
"2021-06-07","1"
"2021-05-03","1"
"2021-04-14","6"
"2021-04-05","4"
"2021-03-19","1"
"2021-03-05","2"
"2021-02-19","6"
"2021-01-13","1"
"2020-12-15","1"
"2020-11-30","1"
"2020-11-18","7"
"2020-11-11","3"
"2020-11-10","2"
"2020-09-16","2"
"2020-09-11","3"
"2020-09-10","3"
"2020-09-02","2"
"2020-09-01","1"
"2020-08-20","1"
"2020-08-18","14"
"2020-08-07","2"
"2020-07-20","20"
"2020-07-15","8"
"2020-06-25","2"
"2020-06-16","1"
"2020-06-08","1"
"2020-04-06","2"
"2020-03-09","1"
"2020-03-04","1"
"2020-02-26","6"
"2020-02-20","18"
"2020-02-12","3"
"2020-02-11","1"
"2019-12-05","8"
"2019-11-22","20"
"2019-11-11","8"
"2019-10-23","1"
"2019-10-22","1"
"2019-10-21","41"
"2019-09-19","1"
"2019-08-13","2"
"2019-07-23","1"
"2019-07-11","2"
"2019-07-03","9"
"2019-06-14","1"
"2019-06-11","1"
"2019-05-30","2"
"2019-05-20","1"
"2019-05-06","8"
"2019-04-30","2"
"2019-04-18","2"
"2019-02-06","4"
"2018-11-14","1"
"2018-11-09","2"
"2018-11-05","1"
"2018-10-30","4"
"2018-06-22","5"
"2018-06-18","2"
"2018-05-10","5"
"2018-03-07","2"
"2017-09-14","2"
"2017-06-21","1"
"2017-06-20","3"
"2017-02-23","1"
"2017-01-19","1"
"2016-09-28","1"
"2016-07-19","12"
"2015-09-29","2"
"2015-09-09","2"
"2015-09-02","7"
"2015-09-01","2"
