"Date","Products"
"2022-02-20","8"
"2022-02-19","67"
"2022-02-17","2"
"2022-02-16","1"
"2022-02-15","58"
"2022-02-14","1"
"2022-02-12","75"
"2022-02-10","1"
"2022-02-08","1"
"2022-02-05","40"
"2022-01-29","54"
"2022-01-26","38"
"2022-01-25","1"
"2022-01-22","71"
"2022-01-19","3"
"2022-01-18","1"
"2022-01-17","4"
"2022-01-16","1"
"2022-01-15","57"
"2022-01-11","20"
"2022-01-08","46"
"2022-01-06","1"
"2022-01-05","1"
"2022-01-04","2"
"2022-01-03","1"
"2022-01-01","30"
"2021-12-31","10"
"2021-12-30","1"
"2021-12-28","1"
"2021-12-25","52"
"2021-12-24","3"
"2021-12-22","1"
"2021-12-18","48"
"2021-12-14","13"
"2021-12-11","45"
"2021-12-09","1"
"2021-12-05","1"
"2021-12-04","79"
"2021-11-29","11"
"2021-11-27","58"
"2021-11-26","2"
"2021-11-23","8"
"2021-11-20","92"
"2021-11-19","28"
"2021-11-15","1"
"2021-11-13","86"
"2021-11-10","22"
"2021-11-07","1"
"2021-11-06","99"
"2021-11-04","5"
"2021-10-30","72"
"2021-10-28","1"
"2021-10-26","1"
"2021-10-23","98"
"2021-10-18","1"
"2021-10-16","50"
"2021-10-13","1"
"2021-10-12","23"
"2021-10-09","24"
"2021-10-05","1"
"2021-10-02","60"
"2021-09-28","2"
"2021-09-27","1"
"2021-09-25","16"
"2021-09-23","1"
"2021-09-22","4"
"2021-09-21","4"
"2021-09-18","40"
"2021-09-14","1"
"2021-09-12","1"
"2021-09-11","44"
"2021-09-09","1"
"2021-09-07","6"
"2021-09-05","2"
"2021-09-04","44"
"2021-09-02","4"
"2021-08-30","3"
"2021-08-29","3"
"2021-08-28","60"
"2021-08-26","1"
"2021-08-23","1"
"2021-08-21","10"
"2021-08-19","3"
"2021-08-18","1"
"2021-08-16","3"
"2021-08-15","1"
"2021-08-14","23"
"2021-08-12","34"
"2021-08-09","1"
"2021-08-08","2"
"2021-08-07","11"
"2021-08-05","5"
"2021-08-04","1"
"2021-08-03","2"
"2021-08-02","1"
"2021-08-01","5"
"2021-07-31","12"
"2021-07-29","2"
"2021-07-27","2"
"2021-07-25","2"
"2021-07-24","18"
"2021-07-22","2"
"2021-07-21","1"
"2021-07-19","3"
"2021-07-18","5"
"2021-07-17","20"
"2021-07-15","3"
"2021-07-14","3"
"2021-07-12","3"
"2021-07-11","4"
"2021-07-10","22"
"2021-07-08","2"
"2021-07-07","1"
"2021-07-06","1"
"2021-07-05","2"
"2021-07-04","6"
"2021-07-03","14"
"2021-07-01","3"
"2021-06-30","1"
"2021-06-29","4"
"2021-06-28","2"
"2021-06-27","4"
"2021-06-26","19"
"2021-06-24","3"
"2021-06-23","4"
"2021-06-22","5"
"2021-06-21","1"
"2021-06-20","6"
"2021-06-19","36"
"2021-06-17","2"
"2021-06-16","8"
"2021-06-15","1"
"2021-06-14","9"
"2021-06-12","35"
"2021-06-11","1"
"2021-06-10","3"
"2021-06-09","1"
"2021-06-08","1"
"2021-06-07","1"
"2021-06-06","17"
"2021-06-05","24"
"2021-06-03","4"
"2021-05-31","1"
"2021-05-30","2"
"2021-05-29","20"
"2021-05-27","19"
"2021-05-25","1"
"2021-05-23","21"
"2021-05-22","2"
"2021-05-19","14"
"2021-05-18","16"
"2021-05-15","41"
"2021-05-13","1"
"2021-05-12","1"
"2021-05-09","2"
"2021-05-08","4"
"2021-05-05","5"
"2021-05-03","1"
"2021-05-01","13"
"2021-04-24","15"
"2021-04-22","3"
"2021-04-19","1"
"2021-04-18","1"
"2021-04-17","10"
"2021-04-15","1"
"2021-04-11","13"
"2021-04-08","2"
"2021-04-07","1"
"2021-04-06","1"
"2021-04-05","1"
"2021-04-03","18"
"2021-03-31","1"
"2021-03-29","1"
"2021-03-27","20"
"2021-03-25","1"
"2021-03-23","1"
"2021-03-22","4"
"2021-03-21","13"
"2021-03-14","1"
"2021-03-13","5"
"2021-03-11","1"
"2021-03-07","1"
"2021-03-06","8"
"2021-02-27","14"
"2021-02-21","2"
"2021-02-13","3"
"2021-02-06","8"
"2021-01-30","5"
"2021-01-23","5"
"2021-01-16","5"
"2021-01-14","2"
"2021-01-09","4"
"2021-01-03","2"
"2020-12-28","1"
"2020-12-26","2"
"2020-12-25","1"
"2020-12-24","2"
"2020-12-19","4"
"2020-12-12","1"
"2020-12-05","2"
"2020-11-29","1"
"2020-11-25","1"
"2020-11-24","1"
"2020-11-22","1"
"2020-11-16","3"
"2020-11-15","1"
"2020-11-11","9"
"2020-11-08","4"
"2020-11-04","8"
"2020-11-01","2"
"2020-10-28","3"
"2020-10-24","4"
"2020-10-23","1"
"2020-10-21","1"
"2020-10-18","1"
"2020-10-17","4"
"2020-10-14","1"
"2020-10-10","2"
"2020-10-09","1"
"2020-10-06","1"
"2020-10-03","1"
"2020-09-29","1"
"2020-09-19","2"
"2020-09-18","2"
"2020-09-15","3"
"2020-09-14","1"
"2020-09-12","1"
"2020-09-11","1"
"2020-09-07","1"
"2020-09-06","6"
"2020-09-03","1"
"2020-09-01","2"
"2020-08-31","1"
"2020-08-30","1"
"2020-08-29","1"
"2020-08-28","2"
"2020-08-27","1"
"2020-08-26","2"
"2020-08-25","4"
"2020-08-24","1"
"2020-08-23","3"
"2020-08-22","1"
"2020-08-20","2"
"2020-08-19","2"
"2020-08-18","1"
"2020-08-16","1"
"2020-08-15","2"
"2020-08-12","3"
"2020-08-11","1"
"2020-08-10","2"
"2020-08-09","2"
"2020-08-06","1"
"2020-08-05","3"
"2020-08-02","2"
"2020-07-31","2"
"2020-07-30","1"
"2020-07-29","2"
"2020-07-28","5"
"2020-07-27","1"
"2020-07-26","2"
"2020-07-25","1"
"2020-07-23","1"
"2020-07-22","1"
"2020-07-20","1"
"2020-07-19","3"
"2020-07-16","3"
"2020-07-13","2"
"2020-07-11","1"
"2020-07-10","2"
"2020-07-09","3"
"2020-07-08","3"
"2020-07-07","5"
"2020-07-06","2"
"2020-07-05","4"
"2020-07-02","2"
"2020-07-01","2"
"2020-06-30","1"
"2020-06-29","2"
"2020-06-28","2"
"2020-06-27","1"
"2020-06-21","2"
"2020-06-20","1"
"2020-06-19","1"
"2020-06-18","2"
"2020-06-17","3"
"2020-06-16","1"
"2020-06-15","2"
"2020-06-14","1"
"2020-06-13","1"
"2020-05-28","1"
"2020-05-27","1"
"2020-05-25","1"
"2020-05-19","1"
"2020-02-24","1"
"2020-01-27","1"
"2020-01-25","1"
"2020-01-23","1"
"2020-01-16","1"
"2020-01-05","1"
"2019-12-13","1"
"2019-08-27","1"
"2019-07-31","1"
"2019-07-09","1"
"2019-06-25","1"
"2019-04-11","1"
"2018-11-11","1"
"2018-10-06","1"
"2018-07-12","1"
"2018-04-08","1"
