"Date","Products"
"2022-02-18","6"
"2022-02-17","216"
"2022-02-15","4"
"2022-02-14","30"
"2022-02-11","38"
"2022-02-10","3"
"2022-02-09","2"
"2022-02-07","2"
"2022-02-06","1"
"2022-02-04","13"
"2022-02-02","4"
"2022-01-31","25"
"2022-01-27","1"
"2022-01-26","9"
"2022-01-24","1"
"2022-01-20","5"
"2022-01-19","15"
"2022-01-18","1"
"2022-01-10","5"
"2022-01-07","13"
"2022-01-06","6"
"2022-01-04","6"
"2022-01-03","1"
"2021-12-31","5"
"2021-12-23","1"
"2021-12-22","1"
"2021-12-21","7"
"2021-12-16","1"
"2021-12-14","1"
"2021-12-13","1"
"2021-12-08","2"
"2021-12-07","6"
"2021-12-06","21"
"2021-12-02","90"
"2021-10-12","1"
"2021-10-07","1"
"2021-05-17","1"
"2021-04-09","1"
"2021-01-29","3"
"2020-12-23","1"
"2020-11-16","1"
"2019-11-15","3"
"2018-11-13","2"
"2018-03-15","4"
