"Product Type","Products"
"Coats & Jackets","542"
"Jeans","35"
"dresses","762"
"Co-ord","213"
"Jumpsuits & Playsuits","69"
"Trousers","97"
"womens tops","157"
"Sweaters","99"
"Hoodies","42"
"Blouse","27"
"Accessories","65"
"Swimwear & Beachwear","177"
"Sweatshirts","17"
"T-Shirts","102"
"Shirts","48"
"Cardigans","52"
"Blazer","89"
"Skirts","104"
"Shorts","34"
"Leggings","13"
"Nightwear","78"
"T-shirts","4"
"Face Masks","18"
"Activewear","49"
"Tights","35"
"Skirt","1"
"","1"
"0","1"
"Dresses","1"
"shorts","2"
