"Product Type","Products"
"","15"
"Screens","29"
"Toolkits","14"
"Tools","11"
"iFixit Gear","19"
"Apple","272"
"Vaude","13"
"Samsung","45"
"Prying & Opening","20"
"Upgrade-Kit","26"
"Drivers & Wrenches","38"
"Microsoft","1"
"Fitbit","1"
"Nintendo","16"
"Huawei","23"
"Soldering & Wiring","6"
"Adhesives","15"
"singleton_gift","1"
"HP","5"
"Batteries","52"
"Acer","3"
"Cutting Tools","7"
"Consumables","8"
"ESD Safe","3"
"Organization Tools","5"
"Lenovo","5"
"Dell","2"
"Motorola","28"
"Fairphone","9"
"JBL","1"
"Inspection Tools","3"
"Xiaomi","3"
"Hard Drives/SSDs","4"
"Teenage Engineering","14"
"Ports","1"
"Cables","9"
"Cameras","10"
"Toniebox","1"
"Measuring Tools","3"
"Cleaning Tools","11"
"Headphone Jacks","5"
"Antennas","3"
"Playstation","1"
"RAM","4"
"Gripping Tools","10"
"Buttons","5"
"Speakers","3"
"Feet","2"
"Joysticks","1"
"PlayStation","1"
"GoPro","2"
"Boards","2"
"Trackpads","2"
"Screws","2"
"Screen Protectors","7"
"Asus","1"
