"Product Type","Products"
"","459"
"Plushie","8"
"Tank Top","1"
"Joggers","32"
"Hoodie","310"
"Tote Bag","23"
"Crewneck","106"
"Cropped Tank","4"
"hat","113"
"Jacket","7"
"Gift Cards","9"
"Mugs","5"
"Hats","5"
"Notebooks & Notepads","1"
"phone case","296"
"sticker","76"
"Workout Band Bundle","1"
"Workout Bra","1"
"Biker Shorts","1"
"Tank","1"
"Shirt","309"
"Mug","7"
"notebook","71"
"dad hat","5"
"Beanie","22"
"Long Sleeve Shirt","3"
"T-shirt","32"
"Water Bottles","1"
"MUG","74"
"Shirts & Tops","4"
"longsleeve","1"
"leggings","1"
"shirt","13"
"Utensils","2"
"Crop Hoodie","2"
"Necklace","1"
"Blanket","2"
"Blankets","3"
"bucket hat","3"
"Sweatpants","35"
"duffle bag","3"
"Slides","2"
"Socks","7"
"Bibs","1"
"Onesie","3"
"trucker hat","2"
"Denim Jacket","1"
"Decorative Stickers","2"
"Mousepads","7"
"Backpack","1"
"Posters 2","1"
"Mini Backpack","1"
"hoodie","5"
"Cropped Hoodie","2"
"Hat","5"
"Tank-Top","3"
"shorts","5"
"Sticker","15"
"Sports Bra","1"
"Gift Card","1"
"Shorts","2"
"Legging","2"
"mug","1"
"Long Sleeve","5"
"Face mask","39"
"Jewelry","2"
"Jogger","9"
"Short","2"
"Accessories","24"
"Youth Crewneck","1"
"Mousepad","1"
"Poster","7"
"muumuu","1"
"Zip Up","1"
"beanie","2"
"tshirt","6"
"Pet Bandana","5"
"Insurance","1"
"Pet Hoodie","1"
"Tumblers","3"
"Underwear","2"
"Fanny Pack","1"
"Notebook","1"
"V-Neck","3"
"Youth Shirt","1"
"SWEATSHIRT","1"
"Crop-Top","1"
"Dress","1"
"Bra","1"
