"Product Type","Products"
"Frye Women_Female_Shoes","2"
"Frye Women_Female_Athletic/Sneakers","2"
"Bottoms","539"
"Tops","972"
"Dresses","681"
"Shoes","305"
"Outerwear","127"
"Jewelry","302"
"Outlet Dresses","517"
"Hats & Hair Accessories","88"
"Outlet Tops","661"
"Swimwear","170"
"Accessories","74"
"Outlet Bottoms","360"
"Kitchen","80"
"Home Decor","78"
"Bags","86"
"Vests","1"
"Intimates","6"
"Outlet Outerwear","91"
"Outlet Shoes","116"
"Outlet Jumpsuits","7"
"Outlet Accessory","81"
"Outlet Swimwear","21"
"Outlet Sleepwear","58"
"Outlet Home Decor","9"
"Socks & Tights","5"
"Books","29"
"Outlet Clothing","2"
"Puzzles & Games","33"
"Socks","44"
"Sleepwear","41"
"Office Supplies","5"
"Jumpsuits","1"
"Outlet Socks","4"
"Bath","3"
"PUZZLES & GAMES","2"
"HATS & HAIR ACCESSORIES","1"
"Gift Cards","1"
"Tights","28"
