"Product Type","Products"
"BRUSH SET","31"
"LIPSTICK SET","17"
"EYESHADOW PALETTE","1"
"COLOR PENCILS","1"
"HAIR","5"
"LIQUID LIPSTICK","46"
"LIP LINER","26"
"LIP TOOLS","2"
"FACE BRUSH","71"
"LASH GLUE","3"
"EYE PALETTE","56"
"Eye Liner","1"
"BLUSH PALETTE","3"
"HIGHLIGHTER PALETTE","4"
"SETTING LOOSE POWDER","21"
"HIGHLIGHTER LIQUID","18"
"MULTICATEGORY SET","5"
"BRONZER POWDER","8"
"LIP GLOSS","41"
"LIP CRAYON","16"
"LIP GLOSS SET","4"
"FACE MASK","7"
"Lipstick","1"
"SET","14"
"SETTING SPRAY","11"
"FOUNDATION LIQUID","145"
"EYESHADOW CREAM","34"
"LIQUID LIPSTICK SET","8"
"CONCEALER LIQUID","97"
"SKIN TINT","12"
"TONER/ CLARIFIERS","3"
"SERUM","2"
"BODY MOISTURIZER","2"
"FACIAL MIST","3"
"ACNE TREATMENT","5"
"FACIAL CLEANSER","10"
"FINISHING PRESSED POWDER","15"
"BAG","3"
"EYE BRUSH","74"
"EYE BASE","19"
"PRIMER OIL","4"
"HIGHLIGHTER CREAM","4"
"ALL OTHER STYLING","4"
"BODY","4"
"LASH TOOL","3"
"FACIAL MOISTURIZER","8"
"Unknown","1"
"LIPSTICK","64"
"MULTI FACE PALETTE","16"
"CASE","6"
"BROW POWDER","10"
"BLUSH STICK","3"
"OTHER ACCESSORIES","1"
"CAKE LINER","14"
"BROW SET","10"
"COLOR PENCIL","51"
"CONTOUR STICK","6"
"LASHES","51"
"EYE PENCIL SHARPENER","1"
"LIP PLUMPER","14"
"HIGHLIGHTER PRESSED POWDER","15"
"BROW PENCIL","20"
"EYE PRIMER","2"
"LIP SCRUB","6"
"BLUSH LIQUID","5"
"EYESHADOW","6"
"BROW GEL","12"
"FACIAL PATCHES","5"
"BLUSH POWDER","7"
"EYE LINER PENCIL","3"
"MASCARA","8"
"FINISHING LOOSE POWDER","5"
"FACE PRIMER","3"
"LIP BALM","9"
"LIP OIL","8"
"EYE LINER PALETTE","1"
"EYE LINER LIQUID","7"
"HIGHLIGHTER LOOSE POWDER","10"
"LIP TREATMENT","2"
"SETTING PRESSED POWDER","2"
"BODY EXFOLIATOR","6"
"SPONGE SET","5"
"BRONZER CREAM","5"
"SPONGE","5"
"SHAMPOO","3"
"CONDITIONER","2"
"HAIR CREME","1"
"BLUSH CREAM","9"
"BRONZER LIQUID","1"
"EYESHADOW STICK","6"
"COLOR CORRECTOR","3"
"LIP BASE","6"
"EYE TREATMENT","1"
"LIP MASK","1"
"FACIAL MASK","3"
"FACE OIL","1"
"SHIMMER","2"
"LASH SERUM","3"
"MASCARA PRIMER","1"
"DRY SHAMPOO","1"
"SPRAY","2"
"SCALP","2"
"BLUSH","1"
"SOLID BRUSH CLEANER","2"
"EYESHADOW LIQUID","4"
"BROW CREAM","10"
"MASK","1"
"MIRROR","1"
"CONTOUR PALETTE","5"
"OTHER MERCH","1"
"EYE MAKEUP REMOVER","1"
"LASH STORAGE","2"
"HIGHLIGHTER STICK","9"
"MIXING PALETTE","1"
"MAGNETIC PALETTE","1"
"EYE LINER GEL","5"
"LIQUID BRUSH CLEANER","2"
