"Product Type","Products"
"Bags","7"
"Crew Neck Sweatshirts","34"
"Wine Glasses","32"
"T-Shirts","408"
"Mugs","189"
"Stickers","87"
"Pet Beds","1"
"Handbags","32"
"Posters","42"
"Blankets","58"
"Hoodies","153"
"Pillows","14"
"Tank Tops","81"
"Standees","54"
"Rocks Glasses","6"
"Drinking Glasses","19"
"Pajamas","1"
"Notebooks","4"
"Pens","1"
"Eye Masks","3"
"Backpacks","1"
"Wall Decals","3"
"Books","9"
"Button Down Shirts","1"
"","6"
"Accessories","4"
"Face Masks","5"
"Hats","64"
"Towels","11"
"Socks","14"
"Ornaments","32"
"Stockings","23"
"Coasters","3"
"Shot Glasses","2"
"Leggings","8"
"Tumblers","2"
"Jerseys","1"
"Polos","1"
"Hand Towels","2"
"Sweatpants","5"
"Signs","3"
"Phone Cases","8"
"Luggage Tags","4"
"PopSockets","1"
"Sports Bras","1"
"Collectibles","8"
"Water Bottles","1"
"Lanyards","1"
"Door Mats","1"
"T-Shirt","1"
"Hoodies & Sweatshirts","1"
