"Product Type","Products"
"Bags","12"
"Hats","8"
"Hoodies","73"
"T-Shirts","209"
"Stickers","10"
"Mugs","29"
"Phone Cases","6"
"Blankets","16"
"Water Bottles","6"
"Toys","2"
"Toys & Games","15"
"Sweatpants","2"
"Handbags","3"
"Accessories","9"
"Crew Neck Sweatshirts","26"
"Books","23"
"Tools","5"
"Lighting","13"
"Bedding","4"
"Cube Organizers","2"
"Towels","1"
"Stockings","4"
"Gift Cards","7"
"Sweaters","1"
"Plush","6"
"Comforters","1"
"Pint Glasses","3"
"Tank Tops","1"
"Throw Pillows","2"
"Water Bottle","1"
"Sleepwear","2"
"Drinking Glasses","2"
"Hats & Gloves","3"
"Costumes","3"
"Pillowcases","4"
"Hampers","1"
"Slumber Sets","2"
"Gaiters","1"
"Pins","1"
"Lanyards","1"
