"Product Type","Products"
"PVC Scale Figures","1250"
"Nendoroids","197"
"Figma & Articulated Figures","96"
"Wall Scrolls & Posters","21"
"Unisex T-Shirts","107"
"Hoodies & Outerwear","84"
"Plush","150"
"Chibi Figures","204"
"Model Kits","6"
"Unisex T-shirts","41"
"Home Decor","18"
"Hats","8"
"Enamel Pins","8"
"Other Accessories","3"
"DVD","4"
"Keychains","44"
"Blind Boxes","14"
"Backpacks & Bags","5"
"Blu-ray","6"
"Hime Figure","1"
"GWP","2"
"Socks","1"
"Cosplay","1"
"Manga","2"
"Desk Accessories","11"
"Throws & Blankets","34"
"Kitchen Gadgets","14"
"Funko","3"
"Lanyards","20"
"Puzzles","8"
"Drinkware","7"
"Stationery","6"
"Card Games","1"
"Speciality Books","4"
"Membership","1"
"Wallets","2"
"Mobile Games","1"
"Gift Cards","1"
