"Product Type","Products"
"","2"
"Makeup Bag","22"
"Hats","1"
"T-Shirt","2"
"Set","14"
"Eye Shadow","1"
"Lip Treatment","4"
"Brow Gel","2"
"Face Serum","2"
"Moisturizer","2"
"Setting Powder","2"
"Faux Lashes","3"
"Adhesive","1"
"Concealer","1"
"Mini","4"
"Cleanser","2"
"Mask","1"
"Peel","1"
"Hand Cream","1"
"Primer","3"
"Toner","1"
"Eye Cream","1"
"Cleansing Pad","1"
"Lipstick","1"
"Brush","9"
"Lip Gloss","2"
"Sponge","1"
"CC Cream","1"
"Lip Liner","1"
"Eyeliner","2"
"Lash Curler","1"
"Highlighter","1"
"Eyeshadow Palette","2"
"Mascara","1"
"Blush","1"
"Bronzer","1"
"illuminating stick","1"
"Triple Threat","1"
"Brow Liner","1"
"Gift Card","1"
